Method,                                       Percent, Run 1,    Run 2,   Run 3,   Run 4,   Run 5,   Run 6,   Run 7,   Run 8,   Run 9,   Run 10,  Mean MAE, Standard Deviation
Baseline (Foval):                             100%,    18.6279,  13.2542, 13.3316, 8.62558, 12.2639, 15.3245, 9.6689,  13.4425, 13.2573, 12.7083, 13.0505,  2.7557
Foval_robustvision_captum_intGrad_v1_MEANSTD, 10.0%,   9.6564,   9.7418,  10.4394, 10.2481, 10.9113, 10.8765, 9.7141,  7.2383,  11.6435, 12.6384, 10.3108,  1.4315
Foval_robustvision_captum_intGrad_v1_PEN,     10.0%,   9.3367,   11.8094, 13.8309, 9.2259,  11.4981, 10.0169, 9.7757,  6.5414,  11.9468, 9.8410,  10.3823,  1.9888
Foval_robustvision_captum_intGrad_v2_INV,     10.0%,  9.0550,    12.2340, 12.8355, 8.9780,  12.6092, 11.3636, 10.3850, 9.3909,  12.9530, 12.0497, 11.1854,  1.5995
Foval_robustvision_captum_intGrad_v2_MEAN,    10.0%,  9.2265,    9.5785,  12.2247, 10.5419, 8.8225,  12.1883, 8.5587,  6.8272,  10.8196, 9.6198,  9.8408,   1.6634
Foval_robustvision_captum_intGrad_v2_MEANSTD, 10.0%,  9.3355,    10.1625, 11.5559, 9.6099,  10.8725, 9.8833, 9.3091,   14.4187, 10.7096, 17.1789, 11.3036,  2.5575
Foval_robustvision_captum_intGrad_v2_PEN,     10.0%,  8.7093,    9.1785,  11.4633, 9.3391,  10.0090, 13.0824, 7.1120,  8.1221,  8.3826,  10.3505, 9.5749,   1.7391
Foval_robustvision_captum_intGrad_v3_INV,     10.0%,  8.6859,    11.1635, 16.2430, 10.3847, 11.2791, 12.3014, 10.3789, 13.1841, 14.0755, 15.6117, 12.3308,  2.4311
Foval_robustvision_captum_intGrad_v3_MEAN,    10.0%,  8.6535,    9.8555,  13.4773, 10.8120, 11.5646, 12.0862, 10.3523, 7.4330,  10.4373, 12.1352, 10.6807,  1.7706
Foval_robustvision_captum_intGrad_v3_MEANSTD, 10.0%,  7.9411,    10.6477, 12.8767, 9.7770,  11.9432, 8.7258,  10.2470, 14.2358, 10.7355, 12.4026, 10.9532,  1.9326
Foval_robustvision_captum_intGrad_v3_PEN,     10.0%,  7.5552,    9.7081,  15.0858, 9.4690,  12.1196, 10.7716, 9.5104,   6.7029, 11.8253, 11.1077, 10.3856,  2.3917
Foval_robustvision_deeplift_mean_INV,         10.0%,  8.0510,    9.8389,  14.5698, 9.3938,  12.2733, 11.9874, 10.6741,  7.9807,  7.9592, 13.5360, 10.6264,  2.3914
Foval_robustvision_deeplift_mean_MEAN,        10.0%,  7.5784,    10.9316, 12.0895, 11.6352, 10.7028, 12.6658, 10.1800, 12.2391, 10.7086, 14.1417, 11.2873,  1.7481
Foval_robustvision_deeplift_mean_MEANSTD,     10.0%,  8.4748,    9.4700,  11.2871, 10.2566, 11.4173, 12.4036, 9.7802,  13.6058, 11.2631, 12.3014, 11.0260,  1.5467
Foval_robustvision_deeplift_mean_PEN,         10.0%,  9.2140,    11.6285, 13.1307, 9.2736,  10.9668, 10.4855, 10.2249, 13.6433, 11.5409, 11.5449, 11.1653,  1.4634
Foval_robustvision_deeplift_random_INV,       10.0%,  8.2349,    10.6589, 14.6639, 9.1618,  11.4242, 8.5102,  13.0680,  7.5308, 12.4267, 15.6150, 11.1294,  2.7973
Foval_robustvision_deeplift_random_MEAN,      10.0%,  9.0367,    9.4398,  13.5482, 11.5804, 12.1411, 13.2966, 7.4513,  13.1374, 9.6321,  12.0899, 11.1354,  2.1011
Foval_robustvision_deeplift_random_MEANSTD,   10.0%,  9.0313,    9.9353,  14.3749, 10.3711, 12.8866, 10.3944, 10.4736, 14.0477, 11.1887, 13.5074, 11.6211,  1.9076
Foval_robustvision_deeplift_random_PEN,       10.0%,  9.2086,    9.6685,  12.8956, 8.6012,  10.9527, 12.2506, 18.6226, 10.9533, 11.8774, 20.4845, 12.5515,  3.9533
Foval_robustvision_deeplift_zero_INV,         10.0%,  8.8652,    8.9828,  12.2160, 9.7032,  11.9954, 12.3241, 10.1763, 13.1627, 11.1192, 13.0851, 11.1630,  1.6324
