feature,attribution
World_Gaze_Direction_R_Z,5.9457875e-08
World_Gaze_Direction_R_Y,5.0326513e-08
Cosine_Angles,3.938608e-08
World_Gaze_Direction_L_Y,3.6095265e-08
World_Gaze_Direction_L_Z,3.1125385e-08
World_Gaze_Direction_L_X,3.0468236e-08
Gaze_Point_Depth_Difference,2.8743157e-08
Gaze_Point_Euclidean_Distance,2.7577178e-08
Gaze_Direction_Angle,2.4499089e-08
Angular_Difference_X,2.3888798e-08
Ratio_World_Gaze_Direction_Y,2.3484663e-08
Vergence_Depth,2.3387779e-08
Normalized_Vergence_Angle,2.309394e-08
Gaze_Vector_Angle,2.2550502e-08
Gaze_Direction_X_Ratio,2.2241021e-08
Delta_Gaze_Y,2.2152742e-08
Delta_Gaze_Z,2.1583947e-08
Gaze_Point_Distance,2.022446e-08
Vergence_Angle,2.022069e-08
Ratio_World_Gaze_Direction_X,1.9577742e-08
Ratio_World_Gaze_Direction_Z,1.861798e-08
Delta_Gaze_X,1.8341746e-08
World_Gaze_Direction_R_X,1.8332786e-08
Gaze_Direction_Y_Ratio,1.747848e-08
Angular_Difference_Gaze_Directions,1.7450422e-08
Ratio_Delta_Gaze_XY,1.6078502e-08
Gaze_Direction_Z_Ratio,1.6014846e-08
Ratio_Directional_Magnitude,1.4730949e-08
Directional_Magnitude_L,1.2321227e-08
Directional_Magnitude_R,1.2134768e-08
Directional_Magnitude_Ratio,1.18293055e-08
Velocity_Gaze_Direction_R_X,8.089077e-09
Relative_Change_Vergence_Angle,7.399273e-09
Acceleration_Gaze_Direction_R_X,5.6426517e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
