feature,attribution
Directional_Magnitude_Ratio,0.6980217
Ratio_Directional_Magnitude,0.6978883
Directional_Magnitude_L,0.69163346
Directional_Magnitude_R,0.6853749
Velocity_Gaze_Direction_R_X,0.64288384
Relative_Change_Vergence_Angle,0.6308007
Acceleration_Gaze_Direction_R_X,0.60131216
World_Gaze_Direction_L_X,0.59058315
World_Gaze_Direction_R_Z,0.5827683
World_Gaze_Direction_R_X,0.58074754
Gaze_Direction_Z_Ratio,0.57474077
Ratio_World_Gaze_Direction_Z,0.5746368
Delta_Gaze_Z,0.5745019
Gaze_Point_Depth_Difference,0.57391
World_Gaze_Direction_L_Z,0.5722547
Delta_Gaze_Y,0.56990105
World_Gaze_Direction_L_Y,0.56621635
World_Gaze_Direction_R_Y,0.56562245
Gaze_Direction_Y_Ratio,0.5628488
Gaze_Direction_X_Ratio,0.5620302
Ratio_World_Gaze_Direction_Y,0.5619947
Ratio_World_Gaze_Direction_X,0.5618302
Ratio_Delta_Gaze_XY,0.55334604
Angular_Difference_X,0.5463482
Delta_Gaze_X,0.5450652
Gaze_Point_Distance,0.54140276
Gaze_Point_Euclidean_Distance,0.53955775
Gaze_Direction_Angle,0.5393102
Angular_Difference_Gaze_Directions,0.5391345
Normalized_Vergence_Angle,0.5388969
Vergence_Angle,0.53837895
Gaze_Vector_Angle,0.53809255
Cosine_Angles,0.5365424
Vergence_Depth,0.5331605
World_Gaze_Origin_L_X,0.5
World_Gaze_Origin_L_Z,0.5
World_Gaze_Origin_R_X,0.5
World_Gaze_Origin_R_Z,0.5
