feature,attribution
World_Gaze_Direction_R_Z,0.92557234
World_Gaze_Direction_R_Y,0.92261297
World_Gaze_Direction_L_Z,0.91900665
World_Gaze_Direction_L_Y,0.89274657
World_Gaze_Direction_R_X,0.8849049
World_Gaze_Direction_L_X,0.8693095
Acceleration_Gaze_Direction_R_X,0.847895
Delta_Gaze_Y,0.82467353
Ratio_Directional_Magnitude,0.82072043
Directional_Magnitude_Ratio,0.8182806
Delta_Gaze_X,0.8149277
Angular_Difference_X,0.814562
Directional_Magnitude_L,0.8096496
Velocity_Gaze_Direction_R_X,0.8020144
Vergence_Depth,0.79222083
Gaze_Direction_Y_Ratio,0.7893011
Ratio_World_Gaze_Direction_Y,0.7861855
Delta_Gaze_Z,0.7849506
Gaze_Point_Depth_Difference,0.7848912
Directional_Magnitude_R,0.78468186
Ratio_World_Gaze_Direction_Z,0.7845289
Gaze_Direction_Z_Ratio,0.7844544
Gaze_Direction_X_Ratio,0.7798412
Ratio_World_Gaze_Direction_X,0.7792996
Relative_Change_Vergence_Angle,0.7759116
Cosine_Angles,0.7510849
Gaze_Point_Euclidean_Distance,0.75096685
Gaze_Point_Distance,0.7501603
Vergence_Angle,0.7486435
Normalized_Vergence_Angle,0.7477319
Gaze_Direction_Angle,0.74765235
Angular_Difference_Gaze_Directions,0.74716836
Gaze_Vector_Angle,0.7453038
Ratio_Delta_Gaze_XY,0.72888064
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
