feature,attribution
Vergence_Depth,0.47220612
World_Gaze_Direction_R_Z,0.47030985
World_Gaze_Direction_L_Z,0.45483142
World_Gaze_Direction_R_Y,0.4471773
Cosine_Angles,0.41611022
Gaze_Point_Euclidean_Distance,0.41571212
Normalized_Vergence_Angle,0.4149712
Angular_Difference_Gaze_Directions,0.41398537
Gaze_Point_Distance,0.4134375
Gaze_Direction_Angle,0.4132592
Gaze_Vector_Angle,0.41220382
Vergence_Angle,0.41158032
World_Gaze_Direction_L_Y,0.39685717
World_Gaze_Direction_R_X,0.3963005
Delta_Gaze_Y,0.39316985
World_Gaze_Direction_L_X,0.39237264
Angular_Difference_X,0.38080963
Delta_Gaze_X,0.37858513
Gaze_Direction_X_Ratio,0.37379405
Ratio_World_Gaze_Direction_X,0.37328285
Gaze_Direction_Y_Ratio,0.36429405
Ratio_World_Gaze_Direction_Y,0.36307704
Acceleration_Gaze_Direction_R_X,0.34238935
Ratio_Delta_Gaze_XY,0.34081906
Delta_Gaze_Z,0.3308066
Gaze_Point_Depth_Difference,0.33029404
Gaze_Direction_Z_Ratio,0.32994133
Ratio_World_Gaze_Direction_Z,0.32790282
Relative_Change_Vergence_Angle,0.2720525
Velocity_Gaze_Direction_R_X,0.25705117
Directional_Magnitude_Ratio,0.2033113
Ratio_Directional_Magnitude,0.2030303
Directional_Magnitude_L,0.20112853
Directional_Magnitude_R,0.19669968
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
