feature,attribution
Directional_Magnitude_Ratio,0.6327665
Ratio_Directional_Magnitude,0.632472
Directional_Magnitude_R,0.62769085
Directional_Magnitude_L,0.6247695
Velocity_Gaze_Direction_R_X,0.61404836
Relative_Change_Vergence_Angle,0.5886019
World_Gaze_Direction_R_Z,0.5742507
Acceleration_Gaze_Direction_R_X,0.56841236
World_Gaze_Direction_L_Z,0.5672431
World_Gaze_Direction_L_Y,0.5649168
World_Gaze_Direction_R_Y,0.5646777
Gaze_Direction_Z_Ratio,0.5597163
Ratio_World_Gaze_Direction_Z,0.5596168
Delta_Gaze_Z,0.55959797
Gaze_Point_Depth_Difference,0.5594456
World_Gaze_Direction_L_X,0.5580684
Ratio_World_Gaze_Direction_X,0.5567851
Angular_Difference_X,0.5567725
Delta_Gaze_X,0.5566033
Gaze_Direction_X_Ratio,0.5558225
World_Gaze_Direction_R_X,0.55482054
Cosine_Angles,0.549168
Gaze_Point_Distance,0.54302335
Gaze_Point_Euclidean_Distance,0.5426067
Angular_Difference_Gaze_Directions,0.5425646
Vergence_Angle,0.5423748
Normalized_Vergence_Angle,0.5422668
Gaze_Vector_Angle,0.5422072
Gaze_Direction_Angle,0.5419222
Ratio_Delta_Gaze_XY,0.5377204
Ratio_World_Gaze_Direction_Y,0.534075
Delta_Gaze_Y,0.53379273
Gaze_Direction_Y_Ratio,0.5335027
Vergence_Depth,0.53084576
World_Gaze_Origin_L_X,0.5
World_Gaze_Origin_L_Z,0.5
World_Gaze_Origin_R_X,0.5
World_Gaze_Origin_R_Z,0.5
