feature,attribution
World_Gaze_Direction_R_Y,0.45286435
World_Gaze_Direction_L_Z,0.43600455
World_Gaze_Direction_R_Z,0.40682897
World_Gaze_Direction_L_Y,0.37119052
Vergence_Depth,0.36647937
World_Gaze_Direction_L_X,0.35553753
Delta_Gaze_Y,0.34380662
World_Gaze_Direction_R_X,0.3402435
Cosine_Angles,0.31730047
Gaze_Point_Distance,0.31594792
Gaze_Point_Euclidean_Distance,0.31529197
Gaze_Vector_Angle,0.31286946
Angular_Difference_Gaze_Directions,0.31215328
Gaze_Direction_Angle,0.3118401
Vergence_Angle,0.31139573
Normalized_Vergence_Angle,0.31104726
Gaze_Direction_Y_Ratio,0.3085863
Delta_Gaze_X,0.30857256
Acceleration_Gaze_Direction_R_X,0.30810246
Ratio_World_Gaze_Direction_Y,0.3077169
Angular_Difference_X,0.30763263
Gaze_Direction_X_Ratio,0.294742
Ratio_World_Gaze_Direction_X,0.29261777
Gaze_Point_Depth_Difference,0.26593292
Delta_Gaze_Z,0.2646007
Gaze_Direction_Z_Ratio,0.2644983
Ratio_Delta_Gaze_XY,0.263498
Ratio_World_Gaze_Direction_Z,0.26281413
Relative_Change_Vergence_Angle,0.22729757
Velocity_Gaze_Direction_R_X,0.20613942
Ratio_Directional_Magnitude,0.19603777
Directional_Magnitude_L,0.19554928
Directional_Magnitude_Ratio,0.19507518
Directional_Magnitude_R,0.17994827
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
