feature,attribution
World_Gaze_Direction_L_Z,0.68692183
World_Gaze_Direction_R_Z,0.68017226
World_Gaze_Direction_R_Y,0.67366576
World_Gaze_Direction_L_Y,0.6595634
World_Gaze_Direction_L_X,0.65168524
World_Gaze_Direction_R_X,0.6484629
Acceleration_Gaze_Direction_R_X,0.645426
Directional_Magnitude_Ratio,0.642544
Ratio_Directional_Magnitude,0.64177436
Delta_Gaze_Y,0.6328646
Directional_Magnitude_L,0.62865394
Delta_Gaze_X,0.61914295
Angular_Difference_X,0.61777914
Directional_Magnitude_R,0.6156895
Vergence_Depth,0.6145414
Gaze_Direction_X_Ratio,0.6104398
Gaze_Direction_Y_Ratio,0.6101624
Ratio_World_Gaze_Direction_Y,0.6097419
Ratio_World_Gaze_Direction_X,0.6090598
Velocity_Gaze_Direction_R_X,0.60732347
Relative_Change_Vergence_Angle,0.6004308
Delta_Gaze_Z,0.59623086
Gaze_Direction_Z_Ratio,0.5950224
Gaze_Point_Depth_Difference,0.5945706
Ratio_World_Gaze_Direction_Z,0.5941597
Cosine_Angles,0.582692
Gaze_Point_Distance,0.5823902
Gaze_Point_Euclidean_Distance,0.5822279
Vergence_Angle,0.5817347
Gaze_Direction_Angle,0.5807047
Normalized_Vergence_Angle,0.58029294
Gaze_Vector_Angle,0.58027875
Angular_Difference_Gaze_Directions,0.580051
Ratio_Delta_Gaze_XY,0.566454
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
