feature,attribution
Vergence_Depth,2.89738607961594e-06
Gaze_Direction_Y_Ratio,2.3704091606519595e-06
World_Gaze_Direction_L_X,2.2976103763590926e-06
World_Gaze_Direction_L_Y,2.2834090514586878e-06
World_Gaze_Direction_R_Z,2.2475772225544263e-06
Angular_Difference_X,2.1489687158980796e-06
Gaze_Direction_Z_Ratio,2.0885620442144075e-06
Gaze_Direction_Angle,2.0821345314194723e-06
Angular_Difference_Gaze_Directions,2.0731247422669012e-06
Delta_Gaze_Y,2.0095626574714308e-06
World_Gaze_Direction_R_X,1.9968046615285866e-06
Ratio_Delta_Gaze_XY,1.9628781924489694e-06
Delta_Gaze_Z,1.9225719508398494e-06
Gaze_Vector_Angle,1.8585036400730538e-06
Ratio_World_Gaze_Direction_Y,1.8498767791461558e-06
Normalized_Vergence_Angle,1.796323888559875e-06
Gaze_Point_Distance,1.7870957157861982e-06
Gaze_Point_Euclidean_Distance,1.761612560126848e-06
World_Gaze_Direction_R_Y,1.7257088207948094e-06
Delta_Gaze_X,1.7240999989701502e-06
Cosine_Angles,1.7095381609038397e-06
Vergence_Angle,1.6416554042841958e-06
Gaze_Point_Depth_Difference,1.6264440196541675e-06
World_Gaze_Direction_L_Z,1.5030273840443408e-06
Gaze_Direction_X_Ratio,1.4773018880750243e-06
Ratio_World_Gaze_Direction_X,1.4430468726431263e-06
Directional_Magnitude_L,1.2650848554206857e-06
Ratio_Directional_Magnitude,1.2195704992707746e-06
Directional_Magnitude_R,1.2073002214351366e-06
Ratio_World_Gaze_Direction_Z,1.2058024241443563e-06
Directional_Magnitude_Ratio,1.1322338631473696e-06
Relative_Change_Vergence_Angle,6.477392553190683e-07
Velocity_Gaze_Direction_R_X,5.603638056707585e-07
Acceleration_Gaze_Direction_R_X,5.109374929128676e-07
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
