feature,attribution
Gaze_Point_Depth_Difference,0.5537988
Gaze_Direction_Z_Ratio,0.5486533
Ratio_World_Gaze_Direction_X,0.54678255
Gaze_Vector_Angle,0.54377514
Gaze_Direction_X_Ratio,0.5402627
Vergence_Angle,0.5356
Normalized_Vergence_Angle,0.5342481
Directional_Magnitude_Ratio,0.5305654
Gaze_Point_Euclidean_Distance,0.52552116
World_Gaze_Origin_R_X,0.5252288
Ratio_World_Gaze_Direction_Y,0.5218393
Delta_Gaze_X,0.5207271
Relative_Change_Vergence_Angle,0.5200637
Acceleration_Gaze_Direction_R_X,0.5200127
Ratio_Delta_Gaze_XY,0.5180342
Directional_Magnitude_L,0.51552224
Delta_Gaze_Z,0.51432586
Gaze_Point_Distance,0.51247245
Gaze_Direction_Y_Ratio,0.5097556
World_Gaze_Origin_L_Z,0.50906324
Angular_Difference_X,0.5077706
Vergence_Depth,0.5064343
Ratio_World_Gaze_Direction_Z,0.505182
World_Gaze_Origin_R_Z,0.5048778
Ratio_Directional_Magnitude,0.5046964
Angular_Difference_Gaze_Directions,0.5046307
World_Gaze_Direction_L_X,0.50416166
World_Gaze_Direction_L_Y,0.50286674
Velocity_Gaze_Direction_R_X,0.50219816
World_Gaze_Direction_R_X,0.5008215
World_Gaze_Direction_R_Z,0.49777544
Cosine_Angles,0.49660262
World_Gaze_Origin_L_X,0.4965717
World_Gaze_Direction_R_Y,0.49523368
Gaze_Direction_Angle,0.49277326
Directional_Magnitude_R,0.49263534
Delta_Gaze_Y,0.49193543
World_Gaze_Direction_L_Z,0.48718935
