feature,attribution
World_Gaze_Origin_R_X,0.06663926
Delta_Gaze_X,0.059853066
Cosine_Angles,0.05556401
Gaze_Point_Euclidean_Distance,0.055193324
World_Gaze_Origin_L_X,0.05343233
Ratio_World_Gaze_Direction_Z,0.052009325
Gaze_Point_Depth_Difference,0.051705536
Gaze_Direction_Angle,0.049906846
Gaze_Direction_Y_Ratio,0.04819565
World_Gaze_Direction_R_X,0.047846306
Gaze_Vector_Angle,0.047537748
World_Gaze_Direction_R_Z,0.04735774
World_Gaze_Direction_L_Z,0.045222282
Ratio_Directional_Magnitude,0.044955622
Gaze_Direction_Z_Ratio,0.04423564
World_Gaze_Direction_L_X,0.044077754
Gaze_Point_Distance,0.04363991
Gaze_Direction_X_Ratio,0.043566704
World_Gaze_Origin_R_Z,0.043298997
Vergence_Depth,0.04194633
Angular_Difference_Gaze_Directions,0.041700106
World_Gaze_Origin_L_Z,0.04112705
World_Gaze_Direction_R_Y,0.04042317
Relative_Change_Vergence_Angle,0.04015451
Directional_Magnitude_Ratio,0.039794594
Ratio_Delta_Gaze_XY,0.0385595
Directional_Magnitude_L,0.03809836
Angular_Difference_X,0.037486743
Normalized_Vergence_Angle,0.037073057
Delta_Gaze_Y,0.035570815
Ratio_World_Gaze_Direction_X,0.03505817
Acceleration_Gaze_Direction_R_X,0.034750782
Ratio_World_Gaze_Direction_Y,0.03435537
Directional_Magnitude_R,0.034024548
Velocity_Gaze_Direction_R_X,0.033090454
Vergence_Angle,0.033023205
World_Gaze_Direction_L_Y,0.03237423
Delta_Gaze_Z,0.030803155
