feature,attribution
Delta_Gaze_Z,0.30954263
Gaze_Direction_Z_Ratio,0.30942637
World_Gaze_Direction_R_Y,0.28990737
Normalized_Vergence_Angle,0.2774781
Gaze_Vector_Angle,0.2579658
Ratio_Delta_Gaze_XY,0.24957372
Gaze_Direction_X_Ratio,0.23428135
Gaze_Direction_Y_Ratio,0.2322834
Delta_Gaze_X,0.2275102
Directional_Magnitude_Ratio,0.22466597
Delta_Gaze_Y,0.22158073
World_Gaze_Direction_L_Z,0.22032806
Gaze_Point_Euclidean_Distance,0.2194509
Angular_Difference_X,0.21926098
Vergence_Angle,0.21912318
World_Gaze_Direction_L_Y,0.21396945
Ratio_World_Gaze_Direction_Y,0.21282786
World_Gaze_Direction_L_X,0.21200782
Cosine_Angles,0.21140076
World_Gaze_Direction_R_X,0.21050534
Ratio_World_Gaze_Direction_Z,0.2061749
Ratio_Directional_Magnitude,0.20365457
Vergence_Depth,0.20100771
Gaze_Point_Distance,0.1982575
World_Gaze_Origin_R_X,0.19754854
Directional_Magnitude_R,0.19708511
World_Gaze_Origin_L_X,0.19540101
Acceleration_Gaze_Direction_R_X,0.18770094
World_Gaze_Origin_R_Z,0.18188286
Ratio_World_Gaze_Direction_X,0.17651811
World_Gaze_Direction_R_Z,0.16938101
World_Gaze_Origin_L_Z,0.16714457
Directional_Magnitude_L,0.16223651
Gaze_Direction_Angle,0.1603449
Angular_Difference_Gaze_Directions,0.1596251
Gaze_Point_Depth_Difference,0.15905303
Velocity_Gaze_Direction_R_X,0.15812153
Relative_Change_Vergence_Angle,0.13300104
