feature,attribution
World_Gaze_Direction_R_Z,0.5593564
World_Gaze_Direction_L_Y,0.55358696
World_Gaze_Origin_L_X,0.550443
Ratio_World_Gaze_Direction_X,0.54891187
Cosine_Angles,0.5456335
Relative_Change_Vergence_Angle,0.5417405
Directional_Magnitude_Ratio,0.54156005
World_Gaze_Direction_R_X,0.53779954
Delta_Gaze_X,0.5376906
Gaze_Vector_Angle,0.5334138
Vergence_Angle,0.5329883
Directional_Magnitude_R,0.5304362
Ratio_World_Gaze_Direction_Z,0.528083
Ratio_Delta_Gaze_XY,0.52798754
World_Gaze_Origin_R_Z,0.52629995
Delta_Gaze_Z,0.5233847
Gaze_Direction_Y_Ratio,0.5228479
Ratio_World_Gaze_Direction_Y,0.5223599
Angular_Difference_X,0.52203804
Gaze_Direction_Z_Ratio,0.5217625
Directional_Magnitude_L,0.5216333
Gaze_Direction_Angle,0.520789
World_Gaze_Direction_L_Z,0.51754236
Angular_Difference_Gaze_Directions,0.5142132
Gaze_Point_Euclidean_Distance,0.51173264
Acceleration_Gaze_Direction_R_X,0.51107347
Vergence_Depth,0.51081467
Ratio_Directional_Magnitude,0.51057726
Gaze_Point_Distance,0.5097322
Gaze_Direction_X_Ratio,0.5077324
Gaze_Point_Depth_Difference,0.5073756
World_Gaze_Origin_R_X,0.5062953
Normalized_Vergence_Angle,0.5044444
Velocity_Gaze_Direction_R_X,0.4970188
World_Gaze_Direction_R_Y,0.4958287
Delta_Gaze_Y,0.48361522
World_Gaze_Direction_L_X,0.4703195
World_Gaze_Origin_L_Z,0.46692634
