feature,attribution
Ratio_World_Gaze_Direction_X,0.057943564
Gaze_Direction_Y_Ratio,0.049999014
World_Gaze_Origin_L_Z,0.049184874
Delta_Gaze_Z,0.047619373
Gaze_Direction_Angle,0.04704797
World_Gaze_Direction_L_X,0.046649896
World_Gaze_Origin_R_X,0.04463109
World_Gaze_Direction_R_Z,0.042744756
Angular_Difference_X,0.04218238
Gaze_Point_Euclidean_Distance,0.042019323
Vergence_Angle,0.041645907
Relative_Change_Vergence_Angle,0.040563617
World_Gaze_Direction_R_Y,0.04025267
Acceleration_Gaze_Direction_R_X,0.04012177
Ratio_Directional_Magnitude,0.040072102
Normalized_Vergence_Angle,0.03985541
World_Gaze_Origin_R_Z,0.03956773
Delta_Gaze_X,0.03938961
Angular_Difference_Gaze_Directions,0.03930079
Gaze_Direction_X_Ratio,0.038833648
Ratio_World_Gaze_Direction_Z,0.038578585
World_Gaze_Direction_R_X,0.036674343
Vergence_Depth,0.036351614
Gaze_Point_Distance,0.036246553
Delta_Gaze_Y,0.035410378
Directional_Magnitude_Ratio,0.035322756
World_Gaze_Direction_L_Z,0.034014314
World_Gaze_Direction_L_Y,0.03389031
Ratio_World_Gaze_Direction_Y,0.033867236
Velocity_Gaze_Direction_R_X,0.03370294
Gaze_Vector_Angle,0.032806408
Directional_Magnitude_L,0.032755688
Gaze_Direction_Z_Ratio,0.032687124
Directional_Magnitude_R,0.031854674
World_Gaze_Origin_L_X,0.031406164
Cosine_Angles,0.031023676
Gaze_Point_Depth_Difference,0.030013656
Ratio_Delta_Gaze_XY,0.026229383
