feature,attribution
Delta_Gaze_Y,0.003764951
Gaze_Point_Euclidean_Distance,0.003728109
Gaze_Vector_Angle,0.0035744237
Directional_Magnitude_L,0.0026768737
Directional_Magnitude_Ratio,0.0026644098
World_Gaze_Origin_L_Z,0.0025422138
World_Gaze_Direction_L_Z,0.0025006295
World_Gaze_Direction_L_X,0.0024940867
Relative_Change_Vergence_Angle,0.0024074102
Delta_Gaze_X,0.0023799033
Vergence_Depth,0.0022366894
Gaze_Direction_Y_Ratio,0.002191477
Gaze_Point_Distance,0.0021878735
World_Gaze_Origin_R_X,0.0021488424
World_Gaze_Direction_R_Z,0.0020933726
World_Gaze_Origin_L_X,0.0020903144
Normalized_Vergence_Angle,0.0020641887
World_Gaze_Direction_L_Y,0.002017907
Directional_Magnitude_R,0.0020143248
Ratio_Directional_Magnitude,0.0019874144
Gaze_Direction_X_Ratio,0.0018264024
Ratio_World_Gaze_Direction_Z,0.0017231398
World_Gaze_Direction_R_Y,0.0017168638
World_Gaze_Origin_R_Z,0.0017058806
Velocity_Gaze_Direction_R_X,0.0016571037
Angular_Difference_X,0.0015214277
Angular_Difference_Gaze_Directions,0.0015028967
World_Gaze_Direction_R_X,0.0014755774
Acceleration_Gaze_Direction_R_X,0.0014152193
Gaze_Point_Depth_Difference,0.0013636568
Gaze_Direction_Z_Ratio,0.0013159121
Delta_Gaze_Z,0.0012631348
Gaze_Direction_Angle,0.0012436017
Cosine_Angles,0.0011511829
Ratio_Delta_Gaze_XY,0.0011022398
Ratio_World_Gaze_Direction_Y,0.0010294945
Ratio_World_Gaze_Direction_X,0.0010274532
Vergence_Angle,0.001008182
