feature,attribution
Vergence_Depth,4.414363380647046e-06
World_Gaze_Direction_R_Z,4.078130339166819e-06
Normalized_Vergence_Angle,3.5561419230134562e-06
World_Gaze_Direction_R_Y,3.0403955605606826e-06
Delta_Gaze_Y,2.846681112487204e-06
Ratio_Delta_Gaze_XY,2.765168114251537e-06
Vergence_Angle,2.7088496381111325e-06
Directional_Magnitude_Ratio,2.6472712829672674e-06
Ratio_World_Gaze_Direction_X,2.6364492327957122e-06
Ratio_World_Gaze_Direction_Y,2.489221186579016e-06
Ratio_World_Gaze_Direction_Z,2.47159599666702e-06
Angular_Difference_X,2.446687359451971e-06
Gaze_Direction_Angle,2.3508078635359197e-06
World_Gaze_Direction_L_Z,2.32882579211946e-06
Angular_Difference_Gaze_Directions,2.2968174846482725e-06
World_Gaze_Direction_L_Y,2.2965380071582332e-06
Gaze_Direction_Y_Ratio,2.1239049965515735e-06
Gaze_Point_Euclidean_Distance,2.1205342005714557e-06
Delta_Gaze_X,2.112879102469378e-06
Ratio_Directional_Magnitude,2.0845800872848485e-06
Gaze_Point_Depth_Difference,2.076351992172931e-06
World_Gaze_Direction_R_X,2.0520591328931914e-06
Directional_Magnitude_L,1.9629057646852742e-06
Delta_Gaze_Z,1.8867554103962902e-06
Gaze_Direction_Z_Ratio,1.8463848198280176e-06
World_Gaze_Direction_L_X,1.7732333242292952e-06
Directional_Magnitude_R,1.751752413383656e-06
Cosine_Angles,1.7347725673744208e-06
Velocity_Gaze_Direction_R_X,1.4620893091432663e-06
Gaze_Point_Distance,1.4439639551255822e-06
Gaze_Vector_Angle,1.4163693089130902e-06
Gaze_Direction_X_Ratio,1.3713898823652925e-06
Acceleration_Gaze_Direction_R_X,1.359626147632298e-06
Relative_Change_Vergence_Angle,1.3452393284296704e-06
World_Gaze_Origin_L_X,5.619567599524089e-07
World_Gaze_Origin_L_Z,4.538716274282706e-07
World_Gaze_Origin_R_Z,4.415052310946521e-07
World_Gaze_Origin_R_X,2.347989868667355e-07
