feature,attribution
World_Gaze_Direction_R_X,3.457268536521951e-06
Gaze_Point_Distance,3.352318150575684e-06
World_Gaze_Direction_L_Y,2.560253896035647e-06
World_Gaze_Direction_L_Z,2.5230078790627886e-06
World_Gaze_Direction_R_Z,2.4156068911906916e-06
Angular_Difference_Gaze_Directions,2.4010643335259375e-06
Delta_Gaze_Y,2.2765539131341937e-06
Gaze_Direction_Angle,2.2637861559360317e-06
World_Gaze_Direction_R_Y,2.1728205717863604e-06
Delta_Gaze_X,2.1196056690087064e-06
Cosine_Angles,2.0525689120631797e-06
Vergence_Depth,2.011089567872659e-06
Angular_Difference_X,1.967065734902462e-06
Gaze_Direction_X_Ratio,1.824601171733775e-06
World_Gaze_Direction_L_X,1.8184795433739964e-06
Vergence_Angle,1.803631444659004e-06
Ratio_World_Gaze_Direction_Z,1.7973495903333969e-06
Ratio_World_Gaze_Direction_X,1.7964062169539829e-06
Gaze_Vector_Angle,1.743135703407006e-06
Directional_Magnitude_R,1.7349165796076703e-06
Gaze_Point_Depth_Difference,1.7250183017836207e-06
Delta_Gaze_Z,1.6952020101257403e-06
Ratio_World_Gaze_Direction_Y,1.6736327000899108e-06
Ratio_Directional_Magnitude,1.6666073815940763e-06
Directional_Magnitude_L,1.6071579329945962e-06
Gaze_Point_Euclidean_Distance,1.5945759196256403e-06
Gaze_Direction_Z_Ratio,1.53877652905976e-06
Directional_Magnitude_Ratio,1.3342623662992992e-06
Ratio_Delta_Gaze_XY,1.1544646827132965e-06
Gaze_Direction_Y_Ratio,1.1067234936490423e-06
Normalized_Vergence_Angle,1.0092380932746892e-06
Velocity_Gaze_Direction_R_X,8.898570490600832e-07
Acceleration_Gaze_Direction_R_X,7.39750338993872e-07
Relative_Change_Vergence_Angle,7.352292004725314e-07
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
