feature,attribution
Gaze_Direction_Z_Ratio,0.58078367
Ratio_Directional_Magnitude,0.5746439
Velocity_Gaze_Direction_R_X,0.55584383
Delta_Gaze_Z,0.55397683
Vergence_Angle,0.55070436
Gaze_Point_Depth_Difference,0.54841197
Ratio_World_Gaze_Direction_Z,0.5479729
World_Gaze_Direction_R_Y,0.54763347
Gaze_Direction_X_Ratio,0.54320407
Directional_Magnitude_Ratio,0.54135555
Directional_Magnitude_R,0.53837484
Angular_Difference_Gaze_Directions,0.5359453
Vergence_Depth,0.53406495
Gaze_Vector_Angle,0.53187287
Relative_Change_Vergence_Angle,0.52861595
Ratio_Delta_Gaze_XY,0.52851164
World_Gaze_Origin_L_X,0.5254867
Ratio_World_Gaze_Direction_Y,0.5249937
World_Gaze_Origin_R_X,0.5219244
Gaze_Point_Distance,0.52186155
World_Gaze_Direction_R_X,0.5200761
Gaze_Point_Euclidean_Distance,0.5195255
World_Gaze_Direction_R_Z,0.5167952
World_Gaze_Origin_R_Z,0.516291
Acceleration_Gaze_Direction_R_X,0.5117283
World_Gaze_Direction_L_Y,0.5096286
Gaze_Direction_Y_Ratio,0.50951135
Directional_Magnitude_L,0.506128
Gaze_Direction_Angle,0.5058675
Delta_Gaze_X,0.5043524
Angular_Difference_X,0.5030189
World_Gaze_Origin_L_Z,0.5029765
Normalized_Vergence_Angle,0.500205
Delta_Gaze_Y,0.49974832
World_Gaze_Direction_L_X,0.49846113
Cosine_Angles,0.49822873
World_Gaze_Direction_L_Z,0.49108124
Ratio_World_Gaze_Direction_X,0.4778725
