feature,attribution
World_Gaze_Direction_L_Y,0.05657373
Ratio_World_Gaze_Direction_Y,0.056078143
Delta_Gaze_Z,0.05262845
Ratio_Directional_Magnitude,0.051991902
World_Gaze_Origin_L_X,0.04808221
Acceleration_Gaze_Direction_R_X,0.046865564
Vergence_Angle,0.044325534
Ratio_Delta_Gaze_XY,0.043546796
Gaze_Point_Distance,0.0433085
Directional_Magnitude_Ratio,0.04305346
Delta_Gaze_Y,0.04298818
World_Gaze_Origin_L_Z,0.04281439
World_Gaze_Origin_R_Z,0.042760648
Directional_Magnitude_R,0.041601744
Gaze_Point_Euclidean_Distance,0.041256923
World_Gaze_Direction_L_Z,0.039686013
World_Gaze_Direction_R_Z,0.039599787
Directional_Magnitude_L,0.038401976
Cosine_Angles,0.037940837
World_Gaze_Direction_R_X,0.037396356
Velocity_Gaze_Direction_R_X,0.037247483
Gaze_Direction_X_Ratio,0.03714241
World_Gaze_Origin_R_X,0.03625205
Vergence_Depth,0.036180247
Angular_Difference_Gaze_Directions,0.034530755
Gaze_Direction_Angle,0.034439087
Ratio_World_Gaze_Direction_X,0.034107644
World_Gaze_Direction_R_Y,0.033995334
Normalized_Vergence_Angle,0.033137143
World_Gaze_Direction_L_X,0.032612544
Angular_Difference_X,0.03234907
Relative_Change_Vergence_Angle,0.031978358
Gaze_Vector_Angle,0.031487867
Gaze_Point_Depth_Difference,0.031043258
Gaze_Direction_Y_Ratio,0.030906884
Gaze_Direction_Z_Ratio,0.03081093
Delta_Gaze_X,0.029382851
Ratio_World_Gaze_Direction_Z,0.028300501
