feature,attribution
Acceleration_Gaze_Direction_R_X,0.01862734
World_Gaze_Origin_L_Z,0.014379679
World_Gaze_Origin_R_X,0.010269593
Gaze_Point_Euclidean_Distance,0.009681699
Delta_Gaze_X,0.009236353
Gaze_Direction_Angle,0.009084857
Cosine_Angles,0.0078291865
Gaze_Vector_Angle,0.0059443708
Gaze_Point_Distance,0.0058278227
Gaze_Direction_Y_Ratio,0.0053212326
World_Gaze_Direction_L_Y,0.0052697277
Gaze_Direction_Z_Ratio,0.0052473526
Delta_Gaze_Y,0.0051254076
Normalized_Vergence_Angle,0.005060491
Gaze_Point_Depth_Difference,0.004520048
Ratio_Delta_Gaze_XY,0.004294311
Ratio_Directional_Magnitude,0.0040398203
Ratio_World_Gaze_Direction_Y,0.0039448426
World_Gaze_Direction_R_Z,0.0036756634
Ratio_World_Gaze_Direction_Z,0.0035079352
Directional_Magnitude_R,0.003391198
World_Gaze_Direction_L_Z,0.0033244207
Angular_Difference_X,0.0032092556
Angular_Difference_Gaze_Directions,0.0029832732
Delta_Gaze_Z,0.0028592967
World_Gaze_Direction_R_X,0.002806145
Ratio_World_Gaze_Direction_X,0.0027162372
Directional_Magnitude_Ratio,0.0026845722
World_Gaze_Origin_R_Z,0.0026576878
Directional_Magnitude_L,0.002242993
Vergence_Angle,0.0022009076
Relative_Change_Vergence_Angle,0.00215486
Vergence_Depth,0.0018664182
World_Gaze_Direction_L_X,0.0017229884
World_Gaze_Direction_R_Y,0.0013955607
Velocity_Gaze_Direction_R_X,0.0013586894
Gaze_Direction_X_Ratio,0.0011716385
World_Gaze_Origin_L_X,0.00091163995
