feature,attribution
World_Gaze_Origin_R_Z,0.0010122972
Gaze_Vector_Angle,0.0009935095
World_Gaze_Direction_R_Z,0.00083437585
Gaze_Direction_Angle,0.00081918715
Directional_Magnitude_Ratio,0.0006640127
Delta_Gaze_Z,0.00046690978
World_Gaze_Origin_L_X,0.00044639022
Gaze_Direction_Y_Ratio,0.00042002808
Ratio_Directional_Magnitude,0.00035522835
Normalized_Vergence_Angle,0.00027466827
World_Gaze_Direction_L_Z,0.00026321306
Delta_Gaze_Y,0.00024582184
Gaze_Direction_X_Ratio,0.0001563634
Cosine_Angles,0.00014392445
Delta_Gaze_X,0.0001291655
World_Gaze_Direction_L_Y,9.440573e-05
Relative_Change_Vergence_Angle,5.521433e-05
Gaze_Point_Depth_Difference,5.0567327e-05
Vergence_Angle,-5.9097306e-06
Velocity_Gaze_Direction_R_X,-3.7301303e-05
Gaze_Direction_Z_Ratio,-4.099621e-05
World_Gaze_Direction_L_X,-6.2167645e-05
Ratio_Delta_Gaze_XY,-6.7979236e-05
Directional_Magnitude_R,-0.00011244332
World_Gaze_Origin_R_X,-0.0001709374
Ratio_World_Gaze_Direction_Y,-0.00022454034
Acceleration_Gaze_Direction_R_X,-0.00039148732
Vergence_Depth,-0.00042515516
World_Gaze_Origin_L_Z,-0.00044238422
Ratio_World_Gaze_Direction_Z,-0.0004558114
Angular_Difference_X,-0.0005224651
Ratio_World_Gaze_Direction_X,-0.00061004184
Gaze_Point_Distance,-0.00064310903
Gaze_Point_Euclidean_Distance,-0.0007251899
World_Gaze_Direction_R_X,-0.0008271432
World_Gaze_Direction_R_Y,-0.0008989042
Angular_Difference_Gaze_Directions,-0.0009526165
Directional_Magnitude_L,-0.0011681732
