feature,attribution
World_Gaze_Direction_L_X,0.0030050068
Angular_Difference_Gaze_Directions,0.0019857346
Relative_Change_Vergence_Angle,0.0011115008
Gaze_Point_Depth_Difference,0.0011050735
Gaze_Point_Distance,0.00085868465
World_Gaze_Direction_L_Z,0.00067217695
Directional_Magnitude_R,0.00066597166
Cosine_Angles,0.0005620081
Angular_Difference_X,0.0005163156
World_Gaze_Direction_R_Y,0.00048821024
Ratio_World_Gaze_Direction_X,0.00045024054
Normalized_Vergence_Angle,0.00043837237
Gaze_Point_Euclidean_Distance,0.00038792327
Ratio_World_Gaze_Direction_Y,0.00026679825
World_Gaze_Direction_L_Y,0.00015791038
Delta_Gaze_Y,0.00015667347
World_Gaze_Origin_L_X,0.00010887809
Ratio_Delta_Gaze_XY,0.000106673164
Gaze_Direction_Y_Ratio,4.5717006e-05
Ratio_World_Gaze_Direction_Z,3.179881e-05
World_Gaze_Origin_L_Z,-3.73628e-06
Vergence_Angle,-4.7326666e-05
Acceleration_Gaze_Direction_R_X,-0.000105424195
Delta_Gaze_Z,-0.00019885987
Gaze_Vector_Angle,-0.00029470556
Velocity_Gaze_Direction_R_X,-0.00032965557
Gaze_Direction_Z_Ratio,-0.00036534268
Gaze_Direction_X_Ratio,-0.00050375366
Vergence_Depth,-0.00050707883
World_Gaze_Direction_R_X,-0.0006227261
Gaze_Direction_Angle,-0.0006477761
World_Gaze_Origin_R_X,-0.00084733707
World_Gaze_Direction_R_Z,-0.0011364697
Directional_Magnitude_L,-0.0011605287
Delta_Gaze_X,-0.0014086175
Directional_Magnitude_Ratio,-0.0015937281
World_Gaze_Origin_R_Z,-0.0018005627
Ratio_Directional_Magnitude,-0.0023648061
