feature,attribution
Ratio_Directional_Magnitude,0.0013850301
Gaze_Point_Euclidean_Distance,0.0011272277
World_Gaze_Direction_L_X,0.0010764103
Velocity_Gaze_Direction_R_X,0.00085822924
World_Gaze_Direction_R_Y,0.00072312215
Ratio_World_Gaze_Direction_Z,0.00070133177
World_Gaze_Direction_R_Z,0.00059893494
Acceleration_Gaze_Direction_R_X,0.0004616469
Ratio_World_Gaze_Direction_Y,0.00043804836
Ratio_World_Gaze_Direction_X,0.000382931
Gaze_Direction_X_Ratio,0.0003425954
World_Gaze_Origin_L_Z,0.00034055495
Vergence_Depth,0.00028730938
Gaze_Direction_Y_Ratio,0.00023865748
Angular_Difference_X,0.00023331288
World_Gaze_Origin_L_X,0.000227777
Gaze_Direction_Angle,0.00014388296
Ratio_Delta_Gaze_XY,0.00011787235
World_Gaze_Direction_L_Z,-3.791577e-05
Gaze_Direction_Z_Ratio,-4.0805986e-05
Delta_Gaze_Z,-4.891143e-05
Directional_Magnitude_L,-0.00015211891
Angular_Difference_Gaze_Directions,-0.00024845547
Gaze_Point_Distance,-0.00030173204
Directional_Magnitude_Ratio,-0.00031117492
Delta_Gaze_Y,-0.0003575494
Gaze_Point_Depth_Difference,-0.00037663354
World_Gaze_Direction_R_X,-0.00048047648
World_Gaze_Origin_R_X,-0.0004854718
Relative_Change_Vergence_Angle,-0.0005375541
World_Gaze_Origin_R_Z,-0.00073207216
Normalized_Vergence_Angle,-0.00073360116
Cosine_Angles,-0.0007599587
Gaze_Vector_Angle,-0.0008951707
Delta_Gaze_X,-0.00093325676
Directional_Magnitude_R,-0.0010533697
World_Gaze_Direction_L_Y,-0.0011766988
Vergence_Angle,-0.0015293545
