feature,attribution
Angular_Difference_Gaze_Directions,0.0003576255058098656
Gaze_Direction_X_Ratio,0.0002903886720257978
Cosine_Angles,0.0002804461909540104
Ratio_World_Gaze_Direction_Z,0.0002655500117627397
World_Gaze_Direction_R_Y,0.00025475452728671017
World_Gaze_Direction_L_Z,0.000252840578578688
Gaze_Vector_Angle,0.00023284939368104448
Vergence_Angle,0.00022689369943100837
Gaze_Direction_Angle,0.00021547921716065076
Gaze_Direction_Z_Ratio,0.00021421851162417165
Delta_Gaze_Y,0.00021238370287624065
World_Gaze_Direction_R_Z,0.0002103709320718227
Gaze_Point_Euclidean_Distance,0.00018493648813107516
World_Gaze_Direction_R_X,0.00018442434992590884
Ratio_Delta_Gaze_XY,0.00018422028542612948
Delta_Gaze_X,0.000182557156597095
Ratio_World_Gaze_Direction_X,0.00016648466958223983
Gaze_Point_Depth_Difference,0.00016029750263309164
World_Gaze_Direction_L_Y,0.0001586079659121311
World_Gaze_Direction_L_X,0.00015796531112274626
Normalized_Vergence_Angle,0.00015473192167744651
Gaze_Point_Distance,0.00015070096368477776
Delta_Gaze_Z,0.0001488862911406136
Vergence_Depth,0.00014152977578185357
Ratio_World_Gaze_Direction_Y,0.00013733939186328753
Gaze_Direction_Y_Ratio,0.0001115848632584715
Ratio_Directional_Magnitude,0.00011066005674362576
Directional_Magnitude_L,8.153525898736974e-05
Angular_Difference_X,7.868215239915374e-05
Directional_Magnitude_R,6.365721822845098e-05
Directional_Magnitude_Ratio,5.682696516855961e-05
Velocity_Gaze_Direction_R_X,3.016623440971683e-05
Relative_Change_Vergence_Angle,2.9618998628338483e-05
Acceleration_Gaze_Direction_R_X,2.4415197552791365e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
