feature,attribution
Delta_Gaze_X,0.00017896932111459988
Gaze_Vector_Angle,0.00017102382992490166
World_Gaze_Direction_L_Y,0.00016994750017577752
World_Gaze_Direction_L_Z,0.00015941232138966027
Gaze_Point_Euclidean_Distance,0.00015163220457087807
Normalized_Vergence_Angle,0.00014933024617656338
Gaze_Direction_Angle,0.00014840226052298172
World_Gaze_Direction_R_X,0.0001460409140322866
World_Gaze_Direction_L_X,0.00014398068990419645
Vergence_Depth,0.00013877223418285375
Gaze_Direction_X_Ratio,0.0001327748047324977
Angular_Difference_Gaze_Directions,0.00013131336112577813
Gaze_Point_Depth_Difference,0.00013119633244484637
Ratio_World_Gaze_Direction_Y,0.00012924491989853176
Cosine_Angles,0.0001289627560635958
World_Gaze_Direction_R_Z,0.00012631235371943764
Ratio_World_Gaze_Direction_X,0.0001255858401596815
Ratio_World_Gaze_Direction_Z,0.0001226927612040939
World_Gaze_Direction_R_Y,0.00012259034080486242
Delta_Gaze_Y,0.00012050364732552007
Ratio_Delta_Gaze_XY,0.00012002553820544217
Gaze_Point_Distance,0.00011993909519677531
Gaze_Direction_Y_Ratio,0.00011830213454843048
Vergence_Angle,0.00010832914711683943
Gaze_Direction_Z_Ratio,0.00010817273334233576
Angular_Difference_X,9.702971385072606e-05
Delta_Gaze_Z,9.643654133075077e-05
Directional_Magnitude_Ratio,8.429069874597579e-05
Ratio_Directional_Magnitude,8.182931715118492e-05
Directional_Magnitude_R,7.983418318021135e-05
Directional_Magnitude_L,7.578850451624577e-05
Velocity_Gaze_Direction_R_X,5.956619308562808e-05
Relative_Change_Vergence_Angle,5.685989299659562e-05
Acceleration_Gaze_Direction_R_X,5.412298150135689e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
