feature,attribution
Angular_Difference_Gaze_Directions,6.438260650548699e-08
Gaze_Direction_Angle,5.4009719730953406e-08
World_Gaze_Direction_R_Z,4.923478673063191e-08
Vergence_Depth,4.776591391080822e-08
Normalized_Vergence_Angle,4.640678923555587e-08
Angular_Difference_X,4.15211075308178e-08
World_Gaze_Direction_L_Z,3.617361274794787e-08
Gaze_Direction_Z_Ratio,3.483817707626103e-08
Vergence_Angle,3.4213580828167574e-08
Delta_Gaze_Z,3.0798264653483775e-08
Gaze_Point_Distance,3.025494626202726e-08
Gaze_Point_Depth_Difference,2.967707135109758e-08
Gaze_Vector_Angle,2.871532395918459e-08
Gaze_Direction_Y_Ratio,2.7306008441765394e-08
Ratio_World_Gaze_Direction_X,2.711619318354303e-08
Delta_Gaze_Y,2.6935729667467144e-08
Gaze_Point_Euclidean_Distance,2.6819694933785757e-08
World_Gaze_Direction_L_Y,2.1666402716708944e-08
Cosine_Angles,2.1427164775545593e-08
Ratio_World_Gaze_Direction_Y,2.0377142112028558e-08
World_Gaze_Direction_R_Y,2.031594258067143e-08
Gaze_Direction_X_Ratio,1.9480862877065298e-08
Delta_Gaze_X,1.9320482274822333e-08
Ratio_Delta_Gaze_XY,1.9187748365368087e-08
World_Gaze_Direction_R_X,1.7651666467131465e-08
World_Gaze_Direction_L_X,1.551093831661128e-08
Ratio_World_Gaze_Direction_Z,1.3673757001582225e-08
Directional_Magnitude_L,8.793654517927196e-09
Directional_Magnitude_R,8.440090468544633e-09
Ratio_Directional_Magnitude,8.346330778132308e-09
Directional_Magnitude_Ratio,7.529549200232011e-09
Velocity_Gaze_Direction_R_X,6.968813067736945e-09
Relative_Change_Vergence_Angle,5.527618459763313e-09
Acceleration_Gaze_Direction_R_X,3.0151889557447407e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
