feature,attribution
Gaze_Point_Distance,0.0010427060356360167
Vergence_Depth,0.0007047539369416764
Gaze_Point_Euclidean_Distance,0.0006433982781732407
Gaze_Vector_Angle,0.0004551536421400956
Delta_Gaze_Y,0.00037256565963238246
Angular_Difference_Gaze_Directions,0.0003444322646546208
Gaze_Direction_X_Ratio,0.00033752785831059383
Normalized_Vergence_Angle,0.0003243984855808108
Delta_Gaze_Z,0.00030671805732496063
Delta_Gaze_X,0.0002991326440137705
World_Gaze_Direction_L_Z,0.00029174328510397983
Gaze_Direction_Z_Ratio,0.0002700366237459787
Gaze_Direction_Y_Ratio,0.00026930679409505986
Vergence_Angle,0.00023719972844729893
Cosine_Angles,0.00023293759319966114
World_Gaze_Direction_L_X,0.0002309639084464937
Angular_Difference_X,0.00021225340806193383
World_Gaze_Direction_L_Y,0.00020526262238413056
Ratio_Delta_Gaze_XY,0.00020486915917927436
World_Gaze_Direction_R_Z,0.00018179226170632361
Gaze_Direction_Angle,0.00017532766836132911
Gaze_Point_Depth_Difference,0.00017418748984505432
Ratio_World_Gaze_Direction_X,0.00015076643286444005
World_Gaze_Direction_R_Y,0.00015045105927950317
Ratio_World_Gaze_Direction_Y,0.00015033483368233764
World_Gaze_Direction_R_X,0.0001469704302510876
Ratio_World_Gaze_Direction_Z,0.0001350838572324138
Directional_Magnitude_Ratio,0.000110491897764404
Ratio_Directional_Magnitude,0.00010144884698207395
Directional_Magnitude_L,6.63826098019827e-05
Relative_Change_Vergence_Angle,6.382238105948215e-05
Directional_Magnitude_R,4.638041110791572e-05
Velocity_Gaze_Direction_R_X,3.6115809345516844e-05
Acceleration_Gaze_Direction_R_X,3.507842944514956e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
