Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
deepactif_v3_INV,6.115714116000006,152.89285290000015,773.52109375,19338.02734375
deepactif_v3_INV,6.115714116000006,152.89285290000015,773.52109375,19338.02734375
deepactif_v4_INV,6.3052670799999895,157.63167699999974,796.40640625,19910.16015625
deepactif_v3_INV,6.115714116000006,152.89285290000015,773.52109375,19338.02734375
deepactif_v4_INV,6.3052670799999895,157.63167699999974,796.40640625,19910.16015625
samples_deepactif_v3_INV,6.433345068000012,160.8336267000003,830.15828125,20753.95703125
deepactif_v3_INV,6.115714116000006,152.89285290000015,773.52109375,19338.02734375
deepactif_v4_INV,6.3052670799999895,157.63167699999974,796.40640625,19910.16015625
samples_deepactif_v3_INV,6.433345068000012,160.8336267000003,830.15828125,20753.95703125
samples_deepactif_v4_INV,6.477001767999982,161.92504419999955,867.975,21699.375
np_deepactif_v3_INV,6.248433447999997,156.2108361999999,793.26421875,19831.60546875
np_deepactif_v3_INV,6.248433447999997,156.2108361999999,793.26421875,19831.60546875
np_deepactif_v4_INV,6.123216383999997,153.08040959999994,805.89265625,20147.31640625
np_deepactif_v4_INV,6.123216383999997,153.08040959999994,805.89265625,20147.31640625
old_deepactif_v3_INV,6.1762903359999966,154.4072583999999,889.8834375,22247.0859375
old_deepactif_v3_INV,6.1762903359999966,154.4072583999999,889.8834375,22247.0859375
old_deepactif_v4_INV,6.219462012000008,155.4865503000002,912.55234375,22813.80859375
ur_deepactif_v3_INV,6.245810636000001,156.14526590000003,889.83984375,22245.99609375
ur_deepactif_v3_INV,6.245810636000001,156.14526590000003,889.83984375,22245.99609375
ur_deepactif_v4_INV,6.265389083999992,156.6347270999998,914.87078125,22871.76953125
original_deepactif_v3_INV,6.154226127999996,153.8556531999999,806.119375,20152.984375
original_deepactif_v3_INV,6.154226127999996,153.8556531999999,806.119375,20152.984375
original_deepactif_v4_INV,6.178485691999988,154.4621422999997,833.03421875,20825.85546875
