feature,attribution
Gaze_Direction_Angle,0.00010053043
World_Gaze_Direction_R_X,7.266834e-05
Gaze_Direction_Z_Ratio,5.943674e-05
Vergence_Angle,5.6190755e-05
World_Gaze_Direction_L_X,4.227373e-05
Gaze_Point_Euclidean_Distance,3.9212733e-05
Ratio_Directional_Magnitude,3.5767946e-05
World_Gaze_Direction_L_Y,3.511498e-05
Delta_Gaze_X,3.0712585e-05
Directional_Magnitude_Ratio,3.0463509e-05
Ratio_World_Gaze_Direction_Z,2.9856572e-05
Directional_Magnitude_R,2.8859335e-05
Angular_Difference_Gaze_Directions,2.4429522e-05
World_Gaze_Direction_R_Y,2.3287266e-05
Delta_Gaze_Z,2.3198383e-05
Ratio_World_Gaze_Direction_X,1.778057e-05
Ratio_World_Gaze_Direction_Y,1.5383923e-05
Gaze_Direction_Y_Ratio,1.2782698e-05
Ratio_Delta_Gaze_XY,3.8033013e-06
Angular_Difference_X,2.8332202e-06
Acceleration_Gaze_Direction_R_X,1.5867955e-06
World_Gaze_Origin_R_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_L_X,0.0
Gaze_Point_Distance,-1.2765919e-06
World_Gaze_Direction_R_Z,-3.6553406e-06
Gaze_Direction_X_Ratio,-1.0808025e-05
Delta_Gaze_Y,-1.1933777e-05
Directional_Magnitude_L,-1.4126018e-05
Velocity_Gaze_Direction_R_X,-1.7127124e-05
Relative_Change_Vergence_Angle,-1.8035134e-05
Vergence_Depth,-1.8259614e-05
World_Gaze_Direction_L_Z,-1.9865583e-05
Gaze_Point_Depth_Difference,-2.7421054e-05
Gaze_Vector_Angle,-3.442474e-05
Cosine_Angles,-4.3877666e-05
Normalized_Vergence_Angle,-4.936395e-05
