feature,attribution
World_Gaze_Origin_R_Z,0.5
World_Gaze_Origin_R_X,0.5
World_Gaze_Origin_L_Z,0.5
World_Gaze_Origin_L_X,0.5
Normalized_Vergence_Angle,0.49983144
Angular_Difference_X,0.49887452
Directional_Magnitude_L,0.49517274
Vergence_Angle,0.4946999
Gaze_Point_Depth_Difference,0.49027592
Directional_Magnitude_Ratio,0.49002448
Ratio_Directional_Magnitude,0.48784375
World_Gaze_Direction_R_Y,0.48645085
Directional_Magnitude_R,0.48621476
Gaze_Point_Distance,0.48612046
Delta_Gaze_X,0.48600104
Velocity_Gaze_Direction_R_X,0.48574015
Ratio_World_Gaze_Direction_Z,0.48465008
Gaze_Point_Euclidean_Distance,0.4818409
Vergence_Depth,0.481291
World_Gaze_Direction_L_X,0.48103878
Relative_Change_Vergence_Angle,0.48089263
Delta_Gaze_Z,0.48070687
Gaze_Direction_Z_Ratio,0.4801625
Delta_Gaze_Y,0.47741792
Angular_Difference_Gaze_Directions,0.47573513
World_Gaze_Direction_R_X,0.47571772
Acceleration_Gaze_Direction_R_X,0.47540513
Gaze_Vector_Angle,0.47528824
Gaze_Direction_X_Ratio,0.47394314
World_Gaze_Direction_L_Y,0.47271997
Cosine_Angles,0.47172642
Ratio_Delta_Gaze_XY,0.47162548
Ratio_World_Gaze_Direction_X,0.46916118
World_Gaze_Direction_R_Z,0.4681463
Ratio_World_Gaze_Direction_Y,0.46767294
Gaze_Direction_Y_Ratio,0.46597907
Gaze_Direction_Angle,0.46222427
World_Gaze_Direction_L_Z,0.45484585
