feature,attribution
Gaze_Vector_Angle,5.0905488e-08
Normalized_Vergence_Angle,3.5754866e-08
Gaze_Direction_Angle,3.1890387e-08
Vergence_Angle,3.1464452e-08
Vergence_Depth,3.034868e-08
World_Gaze_Direction_R_X,2.9309351e-08
World_Gaze_Direction_R_Y,2.9161404e-08
World_Gaze_Direction_R_Z,2.8898327e-08
World_Gaze_Direction_L_Y,2.651463e-08
Gaze_Point_Euclidean_Distance,2.6322782e-08
World_Gaze_Direction_L_Z,2.5208335e-08
Delta_Gaze_X,2.5169854e-08
Delta_Gaze_Y,2.493468e-08
Ratio_World_Gaze_Direction_X,2.4333232e-08
Gaze_Point_Distance,2.4068333e-08
Angular_Difference_X,2.344e-08
Gaze_Direction_Z_Ratio,2.3218284e-08
Angular_Difference_Gaze_Directions,2.2842332e-08
Cosine_Angles,2.242817e-08
Gaze_Point_Depth_Difference,2.2296918e-08
Ratio_Delta_Gaze_XY,2.2051942e-08
World_Gaze_Direction_L_X,1.9875884e-08
Ratio_World_Gaze_Direction_Z,1.9186002e-08
Gaze_Direction_X_Ratio,1.773541e-08
Ratio_World_Gaze_Direction_Y,1.6417411e-08
Gaze_Direction_Y_Ratio,1.5588238e-08
Delta_Gaze_Z,1.5535278e-08
Directional_Magnitude_Ratio,1.5377715e-08
Directional_Magnitude_L,1.2872474e-08
Ratio_Directional_Magnitude,1.2142019e-08
Directional_Magnitude_R,1.0683131e-08
Relative_Change_Vergence_Angle,7.532508e-09
Velocity_Gaze_Direction_R_X,7.2928033e-09
Acceleration_Gaze_Direction_R_X,6.2164696e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
