feature,attribution
Normalized_Vergence_Angle,0.00053755083
World_Gaze_Direction_R_Y,0.00034962586
World_Gaze_Direction_R_Z,0.00032631346
Cosine_Angles,0.0003133757
Gaze_Vector_Angle,0.0003125681
Delta_Gaze_Y,0.000310477
World_Gaze_Direction_L_Y,0.00028728312
World_Gaze_Direction_L_Z,0.0002825386
Vergence_Depth,0.0002805207
Gaze_Direction_Y_Ratio,0.00026533325
Angular_Difference_Gaze_Directions,0.00025581766
Gaze_Direction_Z_Ratio,0.00025527077
World_Gaze_Direction_L_X,0.00023478427
Vergence_Angle,0.00023022086
Gaze_Point_Euclidean_Distance,0.00022694787
Gaze_Direction_Angle,0.00022234609
Ratio_World_Gaze_Direction_Y,0.00020407788
Gaze_Direction_X_Ratio,0.00020127147
Gaze_Point_Distance,0.00020069984
Ratio_Delta_Gaze_XY,0.00019816481
Ratio_World_Gaze_Direction_X,0.00017979271
Delta_Gaze_X,0.0001780015
Ratio_World_Gaze_Direction_Z,0.00017021452
Angular_Difference_X,0.00016918592
Delta_Gaze_Z,0.00016360855
Gaze_Point_Depth_Difference,0.00015939081
Directional_Magnitude_L,0.00015573534
World_Gaze_Direction_R_X,0.00015028771
Directional_Magnitude_Ratio,0.00014625274
Ratio_Directional_Magnitude,0.00012792314
Directional_Magnitude_R,0.00011961644
Relative_Change_Vergence_Angle,6.6884386e-05
Velocity_Gaze_Direction_R_X,6.167327e-05
Acceleration_Gaze_Direction_R_X,5.1604533e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
