feature,attribution
Directional_Magnitude_Ratio,0.6968396
Ratio_Directional_Magnitude,0.69621855
Directional_Magnitude_L,0.68918943
Directional_Magnitude_R,0.68355995
Velocity_Gaze_Direction_R_X,0.64159673
Relative_Change_Vergence_Angle,0.6321925
Acceleration_Gaze_Direction_R_X,0.59802073
World_Gaze_Direction_L_X,0.5910538
World_Gaze_Direction_R_Z,0.58394915
Ratio_World_Gaze_Direction_Z,0.57821757
Delta_Gaze_Z,0.57686293
World_Gaze_Direction_R_X,0.57646626
Gaze_Point_Depth_Difference,0.57602775
Gaze_Direction_Z_Ratio,0.57586706
World_Gaze_Direction_L_Z,0.57135564
Delta_Gaze_Y,0.57123435
World_Gaze_Direction_L_Y,0.5637121
World_Gaze_Direction_R_Y,0.56294847
Ratio_World_Gaze_Direction_Y,0.56287867
Gaze_Direction_Y_Ratio,0.5625064
Ratio_World_Gaze_Direction_X,0.5603192
Gaze_Direction_X_Ratio,0.5598732
Ratio_Delta_Gaze_XY,0.5553948
Angular_Difference_X,0.54878557
Delta_Gaze_X,0.5451319
Gaze_Point_Distance,0.5434357
Gaze_Point_Euclidean_Distance,0.54301447
Vergence_Angle,0.5416292
Gaze_Direction_Angle,0.5412543
Angular_Difference_Gaze_Directions,0.5411374
Gaze_Vector_Angle,0.54103595
Normalized_Vergence_Angle,0.5408687
Cosine_Angles,0.53923845
Vergence_Depth,0.5351659
World_Gaze_Origin_L_X,0.5
World_Gaze_Origin_L_Z,0.5
World_Gaze_Origin_R_X,0.5
World_Gaze_Origin_R_Z,0.5
