feature,attribution
World_Gaze_Direction_R_Z,0.8639932
World_Gaze_Direction_L_Z,0.8447162
World_Gaze_Direction_R_Y,0.83342654
World_Gaze_Direction_L_X,0.8307647
Delta_Gaze_Y,0.8230196
Directional_Magnitude_Ratio,0.8199917
World_Gaze_Direction_R_X,0.81965256
Ratio_Directional_Magnitude,0.81772894
World_Gaze_Direction_L_Y,0.81603485
Vergence_Depth,0.8153264
Acceleration_Gaze_Direction_R_X,0.81417215
Directional_Magnitude_L,0.80623955
Gaze_Direction_X_Ratio,0.7973189
Ratio_World_Gaze_Direction_X,0.7971071
Directional_Magnitude_R,0.78708565
Gaze_Direction_Y_Ratio,0.78339785
Ratio_World_Gaze_Direction_Y,0.78338414
Relative_Change_Vergence_Angle,0.78244126
Cosine_Angles,0.78123754
Angular_Difference_X,0.78001195
Gaze_Point_Distance,0.7790935
Gaze_Point_Euclidean_Distance,0.77824754
Delta_Gaze_Z,0.7778179
Gaze_Point_Depth_Difference,0.77724373
Velocity_Gaze_Direction_R_X,0.77716506
Delta_Gaze_X,0.7766233
Normalized_Vergence_Angle,0.77629435
Gaze_Vector_Angle,0.77609706
Gaze_Direction_Z_Ratio,0.7758042
Vergence_Angle,0.7756237
Angular_Difference_Gaze_Directions,0.7754764
Gaze_Direction_Angle,0.7741899
Ratio_World_Gaze_Direction_Z,0.77251875
Ratio_Delta_Gaze_XY,0.7527138
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
