feature,attribution
World_Gaze_Direction_R_Z,0.48526603
Vergence_Depth,0.46909112
World_Gaze_Direction_L_Z,0.44435158
World_Gaze_Direction_R_Y,0.42927977
Gaze_Point_Distance,0.40923005
Angular_Difference_Gaze_Directions,0.40858328
Gaze_Point_Euclidean_Distance,0.4082359
Gaze_Vector_Angle,0.40819097
Gaze_Direction_Angle,0.40792724
Vergence_Angle,0.40718526
Normalized_Vergence_Angle,0.4060279
Cosine_Angles,0.40587592
World_Gaze_Direction_L_Y,0.39824525
Delta_Gaze_Y,0.38804966
World_Gaze_Direction_L_X,0.38418826
World_Gaze_Direction_R_X,0.38302213
Delta_Gaze_X,0.3789846
Angular_Difference_X,0.37677073
Ratio_World_Gaze_Direction_X,0.3686327
Gaze_Direction_X_Ratio,0.36676458
Ratio_World_Gaze_Direction_Y,0.35866562
Gaze_Direction_Y_Ratio,0.356292
Acceleration_Gaze_Direction_R_X,0.33940953
Ratio_Delta_Gaze_XY,0.33316213
Delta_Gaze_Z,0.33056846
Gaze_Point_Depth_Difference,0.32940656
Gaze_Direction_Z_Ratio,0.3277066
Ratio_World_Gaze_Direction_Z,0.32756257
Relative_Change_Vergence_Angle,0.26358736
Velocity_Gaze_Direction_R_X,0.2527552
Directional_Magnitude_Ratio,0.20507565
Ratio_Directional_Magnitude,0.20490311
Directional_Magnitude_L,0.20361435
Directional_Magnitude_R,0.19693895
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
