feature,attribution
World_Gaze_Direction_L_Z,0.75119257
World_Gaze_Direction_R_Z,0.74824095
World_Gaze_Direction_R_Y,0.7337815
World_Gaze_Direction_L_X,0.73200613
Directional_Magnitude_Ratio,0.72627044
Ratio_Directional_Magnitude,0.72614884
Delta_Gaze_Y,0.7257428
Acceleration_Gaze_Direction_R_X,0.7225498
World_Gaze_Direction_R_X,0.72213036
World_Gaze_Direction_L_Y,0.7215443
Vergence_Depth,0.71289337
Directional_Magnitude_L,0.71083254
Gaze_Direction_X_Ratio,0.7037125
Ratio_World_Gaze_Direction_X,0.7024382
Directional_Magnitude_R,0.70240164
Gaze_Direction_Y_Ratio,0.701607
Ratio_World_Gaze_Direction_Y,0.7012515
Relative_Change_Vergence_Angle,0.69407755
Delta_Gaze_X,0.69320905
Angular_Difference_X,0.68997055
Gaze_Point_Depth_Difference,0.68735194
Gaze_Direction_Z_Ratio,0.6866919
Delta_Gaze_Z,0.68663216
Ratio_World_Gaze_Direction_Z,0.6864973
Velocity_Gaze_Direction_R_X,0.6851335
Cosine_Angles,0.6848292
Gaze_Point_Distance,0.6829009
Gaze_Point_Euclidean_Distance,0.68265843
Vergence_Angle,0.6815803
Angular_Difference_Gaze_Directions,0.68097985
Gaze_Direction_Angle,0.6809786
Gaze_Vector_Angle,0.6809494
Normalized_Vergence_Angle,0.6794306
Ratio_Delta_Gaze_XY,0.674843
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
