feature,attribution
World_Gaze_Direction_R_Z,2.6761938e-06
World_Gaze_Direction_L_Z,1.0803424e-07
Velocity_Gaze_Direction_R_X,1.8042716e-08
Cosine_Angles,1.1458529e-08
Directional_Magnitude_R,9.607355e-09
Directional_Magnitude_L,2.5105542e-09
Directional_Magnitude_Ratio,2.282565e-09
Ratio_Directional_Magnitude,1.986574e-09
World_Gaze_Direction_L_Y,7.4997e-10
Gaze_Direction_Angle,6.216828e-10
World_Gaze_Direction_L_X,6.0568545e-10
Angular_Difference_Gaze_Directions,5.9255373e-10
Gaze_Vector_Angle,5.306152e-10
Vergence_Angle,4.7137005e-10
Relative_Change_Vergence_Angle,4.2743625e-10
World_Gaze_Direction_R_Y,3.5909994e-10
Normalized_Vergence_Angle,3.5393616e-10
Gaze_Point_Euclidean_Distance,2.9347327e-10
Gaze_Point_Distance,2.3128655e-10
Ratio_World_Gaze_Direction_X,2.945162e-11
Gaze_Direction_X_Ratio,2.8608005e-11
Angular_Difference_X,1.7729653e-11
Ratio_World_Gaze_Direction_Z,1.0453547e-11
Delta_Gaze_X,1.0410358e-11
Delta_Gaze_Z,1.0101253e-11
Gaze_Direction_Z_Ratio,1.0015454e-11
Gaze_Point_Depth_Difference,8.281888e-12
Acceleration_Gaze_Direction_R_X,2.9241796e-12
Delta_Gaze_Y,2.0081846e-12
World_Gaze_Direction_R_X,1.23943e-12
Vergence_Depth,9.243348e-13
Gaze_Direction_Y_Ratio,1.1436812e-13
Ratio_Delta_Gaze_XY,1.00058355e-13
Ratio_World_Gaze_Direction_Y,7.1025054e-14
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
