feature,attribution
Vergence_Depth,0.6869695
World_Gaze_Direction_L_Z,0.68615526
World_Gaze_Direction_R_Y,0.6789177
World_Gaze_Direction_R_Z,0.66849655
World_Gaze_Direction_L_Y,0.6660026
Delta_Gaze_Y,0.6614985
Cosine_Angles,0.6562813
Delta_Gaze_X,0.6513314
Angular_Difference_X,0.65112424
Angular_Difference_Gaze_Directions,0.6486302
Gaze_Direction_Angle,0.64826286
Vergence_Angle,0.64817184
Gaze_Vector_Angle,0.6476775
Gaze_Point_Euclidean_Distance,0.6471492
Normalized_Vergence_Angle,0.6468308
Gaze_Point_Distance,0.6466288
Gaze_Direction_X_Ratio,0.64622504
World_Gaze_Direction_R_X,0.64622176
Gaze_Direction_Y_Ratio,0.64598197
World_Gaze_Direction_L_X,0.6453798
Ratio_World_Gaze_Direction_Y,0.64533633
Ratio_World_Gaze_Direction_X,0.64528334
Ratio_Delta_Gaze_XY,0.6282307
Acceleration_Gaze_Direction_R_X,0.62458384
Delta_Gaze_Z,0.6195692
Gaze_Point_Depth_Difference,0.617408
Ratio_World_Gaze_Direction_Z,0.61725676
Gaze_Direction_Z_Ratio,0.61657745
Relative_Change_Vergence_Angle,0.56589085
Velocity_Gaze_Direction_R_X,0.5479078
Ratio_Directional_Magnitude,0.5340832
Directional_Magnitude_Ratio,0.534011
Directional_Magnitude_L,0.52541345
Directional_Magnitude_R,0.5212209
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
