feature,attribution
Gaze_Direction_Angle,0.09447072
Gaze_Direction_X_Ratio,0.054816738
Vergence_Depth,0.03240612
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_Z,0.0
Gaze_Point_Distance,-0.014006708
Angular_Difference_X,-0.030158458
Cosine_Angles,-0.030631417
Angular_Difference_Gaze_Directions,-0.03449949
Directional_Magnitude_Ratio,-0.047710832
World_Gaze_Direction_R_Z,-0.05232567
Gaze_Direction_Y_Ratio,-0.054913815
Gaze_Point_Euclidean_Distance,-0.074417256
Delta_Gaze_X,-0.08128996
Delta_Gaze_Y,-0.102171615
World_Gaze_Direction_L_Y,-0.110352404
Ratio_Delta_Gaze_XY,-0.113593064
Ratio_World_Gaze_Direction_X,-0.12018218
Acceleration_Gaze_Direction_R_X,-0.12853666
Gaze_Point_Depth_Difference,-0.12926853
World_Gaze_Direction_R_Y,-0.13017602
Gaze_Vector_Angle,-0.13513777
World_Gaze_Direction_L_X,-0.14548893
Directional_Magnitude_L,-0.17150706
Velocity_Gaze_Direction_R_X,-0.18217732
World_Gaze_Direction_L_Z,-0.18613166
Gaze_Direction_Z_Ratio,-0.2116818
Ratio_World_Gaze_Direction_Y,-0.21794832
Vergence_Angle,-0.2607446
Ratio_World_Gaze_Direction_Z,-0.268697
Normalized_Vergence_Angle,-0.27213022
Delta_Gaze_Z,-0.28499568
World_Gaze_Direction_R_X,-0.2871823
Relative_Change_Vergence_Angle,-0.424228
Ratio_Directional_Magnitude,-0.57616884
Directional_Magnitude_R,-0.67833275
