feature,attribution
Ratio_World_Gaze_Direction_Z,0.5144368
Gaze_Direction_Y_Ratio,0.51384866
Delta_Gaze_Z,0.51266974
Gaze_Point_Distance,0.5115458
Normalized_Vergence_Angle,0.5110769
Directional_Magnitude_Ratio,0.5108511
Vergence_Depth,0.5095815
World_Gaze_Direction_R_X,0.50809133
Ratio_World_Gaze_Direction_X,0.5074049
World_Gaze_Origin_R_Z,0.5072081
World_Gaze_Origin_R_X,0.505865
Gaze_Direction_Z_Ratio,0.5055585
Gaze_Vector_Angle,0.50492245
World_Gaze_Direction_L_X,0.5047197
Delta_Gaze_Y,0.5045022
Velocity_Gaze_Direction_R_X,0.50445855
Cosine_Angles,0.50354177
Angular_Difference_Gaze_Directions,0.5034089
Ratio_World_Gaze_Direction_Y,0.50309265
World_Gaze_Direction_R_Y,0.50192267
Ratio_Directional_Magnitude,0.50159883
Gaze_Direction_X_Ratio,0.501523
Angular_Difference_X,0.5010568
Gaze_Point_Euclidean_Distance,0.50104773
Gaze_Direction_Angle,0.5004453
World_Gaze_Origin_L_Z,0.50028926
Directional_Magnitude_L,0.5001093
World_Gaze_Direction_L_Y,0.49981534
Gaze_Point_Depth_Difference,0.49975738
Directional_Magnitude_R,0.49920985
World_Gaze_Direction_R_Z,0.49819058
Relative_Change_Vergence_Angle,0.4971327
Vergence_Angle,0.4966108
Delta_Gaze_X,0.49604762
World_Gaze_Origin_L_X,0.49542022
World_Gaze_Direction_L_Z,0.49494317
Acceleration_Gaze_Direction_R_X,0.49442902
Ratio_Delta_Gaze_XY,0.49401048
