feature,attribution
Angular_Difference_X,0.013482687
Delta_Gaze_Y,0.011967907
Gaze_Direction_Y_Ratio,0.007961731
Relative_Change_Vergence_Angle,0.007670183
Vergence_Depth,0.0075365896
Ratio_World_Gaze_Direction_Y,0.007336207
Delta_Gaze_Z,0.007242435
Gaze_Point_Euclidean_Distance,0.0070694475
Angular_Difference_Gaze_Directions,0.006791031
World_Gaze_Direction_R_X,0.006415309
World_Gaze_Direction_R_Z,0.0063798316
Velocity_Gaze_Direction_R_X,0.0059935683
World_Gaze_Direction_R_Y,0.005643697
Ratio_Directional_Magnitude,0.00560849
Gaze_Direction_X_Ratio,0.0054951776
Gaze_Direction_Angle,0.0053355275
Ratio_World_Gaze_Direction_Z,0.005267712
Gaze_Point_Depth_Difference,0.005243354
Directional_Magnitude_R,0.0052150832
World_Gaze_Direction_L_Z,0.0051458897
Ratio_Delta_Gaze_XY,0.0051067923
World_Gaze_Origin_R_X,0.004867262
World_Gaze_Origin_R_Z,0.0045707654
Normalized_Vergence_Angle,0.0042232736
Gaze_Point_Distance,0.0042014755
World_Gaze_Origin_L_X,0.004085382
World_Gaze_Origin_L_Z,0.003870929
Directional_Magnitude_L,0.0035108775
Gaze_Vector_Angle,0.003457703
Cosine_Angles,0.0033821359
Directional_Magnitude_Ratio,0.0032551084
Gaze_Direction_Z_Ratio,0.002859176
World_Gaze_Direction_L_X,0.002841225
Ratio_World_Gaze_Direction_X,0.0027594275
World_Gaze_Direction_L_Y,0.002721426
Acceleration_Gaze_Direction_R_X,0.0026438555
Vergence_Angle,0.002089827
Delta_Gaze_X,0.0017008237
