feature,attribution
Gaze_Point_Depth_Difference,0.2740486
World_Gaze_Origin_L_Z,0.2628231
Gaze_Direction_Angle,0.258881
World_Gaze_Origin_R_Z,0.24423954
Directional_Magnitude_Ratio,0.23934479
Angular_Difference_X,0.2193188
Delta_Gaze_Z,0.21877372
Velocity_Gaze_Direction_R_X,0.2169733
Delta_Gaze_X,0.21482317
Gaze_Vector_Angle,0.21445432
Cosine_Angles,0.21433665
World_Gaze_Direction_R_Y,0.21403216
Angular_Difference_Gaze_Directions,0.21277647
Ratio_World_Gaze_Direction_Y,0.21211632
Acceleration_Gaze_Direction_R_X,0.21131334
Gaze_Point_Euclidean_Distance,0.2071125
World_Gaze_Direction_L_Y,0.20678505
World_Gaze_Direction_L_X,0.20631553
Relative_Change_Vergence_Angle,0.20522729
Vergence_Angle,0.20200926
World_Gaze_Direction_R_X,0.19347534
Vergence_Depth,0.19062471
Directional_Magnitude_L,0.18780561
Gaze_Point_Distance,0.18656138
Ratio_Delta_Gaze_XY,0.18553823
World_Gaze_Direction_R_Z,0.18271938
Normalized_Vergence_Angle,0.18020435
Directional_Magnitude_R,0.17855181
Ratio_Directional_Magnitude,0.17814377
Ratio_World_Gaze_Direction_X,0.17561041
World_Gaze_Origin_L_X,0.17091307
Gaze_Direction_Z_Ratio,0.16990519
World_Gaze_Origin_R_X,0.15998863
Delta_Gaze_Y,0.15935916
Gaze_Direction_X_Ratio,0.15890336
Ratio_World_Gaze_Direction_Z,0.15872663
World_Gaze_Direction_L_Z,0.15593939
Gaze_Direction_Y_Ratio,0.1523734
