feature,attribution
Velocity_Gaze_Direction_R_X,0.51015055
Gaze_Direction_Z_Ratio,0.509473
World_Gaze_Direction_L_Z,0.5078309
Ratio_World_Gaze_Direction_Z,0.5075398
Angular_Difference_Gaze_Directions,0.5073851
Cosine_Angles,0.5049248
Normalized_Vergence_Angle,0.504819
Gaze_Direction_Angle,0.50411683
World_Gaze_Direction_R_Y,0.50411534
World_Gaze_Origin_L_X,0.50317496
Ratio_World_Gaze_Direction_Y,0.5021811
Delta_Gaze_X,0.50209093
World_Gaze_Direction_R_X,0.5015122
World_Gaze_Direction_L_Y,0.5005229
Ratio_Delta_Gaze_XY,0.4999694
Delta_Gaze_Z,0.49981463
Gaze_Point_Distance,0.4996112
World_Gaze_Origin_R_X,0.49956638
Ratio_World_Gaze_Direction_X,0.49908057
Vergence_Depth,0.49796823
Delta_Gaze_Y,0.49706578
Gaze_Direction_Y_Ratio,0.4965124
Gaze_Point_Depth_Difference,0.4964565
Gaze_Direction_X_Ratio,0.49611098
Directional_Magnitude_L,0.49589464
Gaze_Point_Euclidean_Distance,0.49582407
World_Gaze_Direction_R_Z,0.4956497
Directional_Magnitude_R,0.49562144
Gaze_Vector_Angle,0.49558368
Vergence_Angle,0.495091
Directional_Magnitude_Ratio,0.49469066
Angular_Difference_X,0.49341643
Relative_Change_Vergence_Angle,0.49192017
World_Gaze_Origin_L_Z,0.48939374
Ratio_Directional_Magnitude,0.48909238
Acceleration_Gaze_Direction_R_X,0.4889012
World_Gaze_Direction_L_X,0.48747152
World_Gaze_Origin_R_Z,0.486967
