feature,attribution
Gaze_Point_Depth_Difference,0.04293946
Directional_Magnitude_R,0.037265904
Delta_Gaze_Z,0.03630843
Ratio_Directional_Magnitude,0.035853866
Gaze_Point_Distance,0.033260453
Delta_Gaze_Y,0.032816313
Gaze_Direction_X_Ratio,0.032562092
World_Gaze_Origin_R_X,0.03247758
Gaze_Point_Euclidean_Distance,0.031409904
Ratio_Delta_Gaze_XY,0.030917509
Velocity_Gaze_Direction_R_X,0.030662607
Angular_Difference_Gaze_Directions,0.030173268
World_Gaze_Direction_L_Y,0.02974701
World_Gaze_Direction_R_Y,0.029621363
Vergence_Angle,0.029482316
World_Gaze_Origin_R_Z,0.028937362
Ratio_World_Gaze_Direction_X,0.028728105
Ratio_World_Gaze_Direction_Z,0.028383467
World_Gaze_Direction_L_Z,0.028246908
Directional_Magnitude_Ratio,0.027899902
Angular_Difference_X,0.027542325
World_Gaze_Direction_L_X,0.027315198
Directional_Magnitude_L,0.026347043
World_Gaze_Direction_R_Z,0.026128976
Gaze_Direction_Y_Ratio,0.025899107
Gaze_Direction_Angle,0.025818987
Normalized_Vergence_Angle,0.02581345
Ratio_World_Gaze_Direction_Y,0.024251364
World_Gaze_Origin_L_X,0.024018373
World_Gaze_Origin_L_Z,0.023268532
World_Gaze_Direction_R_X,0.022989726
Gaze_Direction_Z_Ratio,0.022535264
Vergence_Depth,0.022485696
Gaze_Vector_Angle,0.022459842
Acceleration_Gaze_Direction_R_X,0.02215432
Delta_Gaze_X,0.021810489
Cosine_Angles,0.02087719
Relative_Change_Vergence_Angle,0.016904538
