feature,attribution
Ratio_World_Gaze_Direction_X,0.0068518645
Directional_Magnitude_Ratio,0.005128013
World_Gaze_Direction_R_Y,0.0047995932
Normalized_Vergence_Angle,0.0037013711
World_Gaze_Direction_R_Z,0.003436443
World_Gaze_Origin_L_X,0.0032696528
Gaze_Direction_X_Ratio,0.0030601514
Angular_Difference_Gaze_Directions,0.0026893222
Ratio_Directional_Magnitude,0.0025963658
Cosine_Angles,0.002570655
Gaze_Point_Depth_Difference,0.002444409
Directional_Magnitude_L,0.0023604766
Directional_Magnitude_R,0.002356077
World_Gaze_Origin_L_Z,0.0022096047
Delta_Gaze_X,0.0021630814
Ratio_World_Gaze_Direction_Z,0.002136422
World_Gaze_Origin_R_Z,0.0018548989
Gaze_Point_Euclidean_Distance,0.0018260065
World_Gaze_Direction_L_Y,0.0018254158
Acceleration_Gaze_Direction_R_X,0.0017871988
Ratio_Delta_Gaze_XY,0.0015021849
Gaze_Vector_Angle,0.0014895719
World_Gaze_Direction_R_X,0.0014436584
Gaze_Direction_Angle,0.0014411947
Vergence_Depth,0.0013640124
Gaze_Point_Distance,0.0013411911
World_Gaze_Origin_R_X,0.0013206031
Delta_Gaze_Z,0.0012826868
Velocity_Gaze_Direction_R_X,0.001243271
Angular_Difference_X,0.0012238558
Relative_Change_Vergence_Angle,0.0012082693
World_Gaze_Direction_L_X,0.0012035528
Delta_Gaze_Y,0.0011780692
Ratio_World_Gaze_Direction_Y,0.0009906777
Gaze_Direction_Z_Ratio,0.0009397108
Vergence_Angle,0.00089880906
World_Gaze_Direction_L_Z,0.00087929936
Gaze_Direction_Y_Ratio,0.00082123856
