feature,attribution
Delta_Gaze_Z,0.20949057
World_Gaze_Direction_L_Z,0.20380996
Gaze_Point_Distance,0.20110129
Delta_Gaze_Y,0.18492666
Directional_Magnitude_Ratio,0.17455512
Gaze_Direction_Z_Ratio,0.17402403
Gaze_Vector_Angle,0.17107673
Gaze_Point_Depth_Difference,0.16952707
World_Gaze_Direction_L_X,0.1683417
World_Gaze_Origin_L_X,0.16380875
Cosine_Angles,0.1569975
Ratio_World_Gaze_Direction_X,0.15297613
Directional_Magnitude_R,0.15136541
World_Gaze_Origin_R_X,0.14902522
World_Gaze_Origin_R_Z,0.14825912
Angular_Difference_Gaze_Directions,0.1471959
Directional_Magnitude_L,0.14690624
Vergence_Depth,0.14541769
Ratio_World_Gaze_Direction_Z,0.14528586
Velocity_Gaze_Direction_R_X,0.1438223
World_Gaze_Direction_R_Z,0.14225508
Acceleration_Gaze_Direction_R_X,0.13957734
World_Gaze_Origin_L_Z,0.13685416
World_Gaze_Direction_R_Y,0.12698135
Gaze_Direction_Y_Ratio,0.12527817
Angular_Difference_X,0.11668693
Vergence_Angle,0.11667125
Ratio_Directional_Magnitude,0.1165457
Gaze_Direction_X_Ratio,0.11605303
World_Gaze_Direction_L_Y,0.11521732
Normalized_Vergence_Angle,0.11512266
Ratio_Delta_Gaze_XY,0.111542195
Delta_Gaze_X,0.1078444
Relative_Change_Vergence_Angle,0.1057831
World_Gaze_Direction_R_X,0.09334332
Gaze_Direction_Angle,0.07469937
Ratio_World_Gaze_Direction_Y,0.069497846
Gaze_Point_Euclidean_Distance,0.06538633
