feature,attribution
Ratio_World_Gaze_Direction_Z,0.5085879
Velocity_Gaze_Direction_R_X,0.506319
World_Gaze_Origin_L_Z,0.5054742
Ratio_Delta_Gaze_XY,0.5028298
Delta_Gaze_Z,0.5026124
World_Gaze_Direction_L_X,0.5024901
Ratio_World_Gaze_Direction_Y,0.50165665
World_Gaze_Direction_R_Z,0.50045824
World_Gaze_Direction_R_Y,0.4994762
Ratio_Directional_Magnitude,0.49919465
Delta_Gaze_X,0.49918264
Angular_Difference_Gaze_Directions,0.4989399
World_Gaze_Origin_R_X,0.49764654
Gaze_Direction_Z_Ratio,0.49707213
World_Gaze_Direction_L_Y,0.4965659
Gaze_Point_Euclidean_Distance,0.49648154
Gaze_Direction_X_Ratio,0.49617547
World_Gaze_Origin_R_Z,0.49612486
Gaze_Point_Depth_Difference,0.4953568
Directional_Magnitude_L,0.49457043
Angular_Difference_X,0.49422213
World_Gaze_Direction_L_Z,0.49394807
Gaze_Direction_Angle,0.49375555
Ratio_World_Gaze_Direction_X,0.49369115
Acceleration_Gaze_Direction_R_X,0.49316978
Gaze_Direction_Y_Ratio,0.49262804
World_Gaze_Origin_L_X,0.4916494
Vergence_Depth,0.48843595
Delta_Gaze_Y,0.48802155
Vergence_Angle,0.48700026
Gaze_Vector_Angle,0.4860073
Directional_Magnitude_Ratio,0.4852933
World_Gaze_Direction_R_X,0.48479152
Directional_Magnitude_R,0.48387346
Relative_Change_Vergence_Angle,0.4819501
Cosine_Angles,0.4817668
Normalized_Vergence_Angle,0.48125803
Gaze_Point_Distance,0.47912562
