feature,attribution
World_Gaze_Direction_L_Z,0.053906187
Vergence_Angle,0.053474832
Ratio_World_Gaze_Direction_Z,0.04803089
Directional_Magnitude_L,0.044487685
World_Gaze_Direction_R_X,0.04100255
Cosine_Angles,0.04091942
World_Gaze_Origin_L_X,0.038010336
Ratio_Directional_Magnitude,0.037816633
Gaze_Direction_X_Ratio,0.036196195
Acceleration_Gaze_Direction_R_X,0.036158644
Gaze_Vector_Angle,0.036157656
World_Gaze_Direction_L_Y,0.035548765
Delta_Gaze_Z,0.03461157
Angular_Difference_X,0.03457265
Vergence_Depth,0.0335877
Gaze_Point_Distance,0.033520933
Gaze_Point_Depth_Difference,0.03349621
World_Gaze_Direction_R_Y,0.033483315
Ratio_World_Gaze_Direction_Y,0.032238435
World_Gaze_Direction_R_Z,0.032030832
Ratio_World_Gaze_Direction_X,0.0317739
Gaze_Direction_Y_Ratio,0.031402975
Velocity_Gaze_Direction_R_X,0.031284012
World_Gaze_Origin_L_Z,0.031011548
Normalized_Vergence_Angle,0.030349538
World_Gaze_Direction_L_X,0.029947547
World_Gaze_Origin_R_X,0.029744769
Angular_Difference_Gaze_Directions,0.02892426
Delta_Gaze_X,0.028125029
Gaze_Point_Euclidean_Distance,0.027517278
Directional_Magnitude_R,0.027370365
Ratio_Delta_Gaze_XY,0.026104087
World_Gaze_Origin_R_Z,0.025568556
Relative_Change_Vergence_Angle,0.02490272
Delta_Gaze_Y,0.024031904
Gaze_Direction_Angle,0.023772202
Gaze_Direction_Z_Ratio,0.023716321
Directional_Magnitude_Ratio,0.023012226
