feature,attribution
Acceleration_Gaze_Direction_R_X,0.0012785661
Gaze_Direction_Angle,0.0012698409
World_Gaze_Origin_R_X,0.00121105
Delta_Gaze_Y,0.0011877604
World_Gaze_Direction_L_Y,0.0011861586
World_Gaze_Direction_L_X,0.0011839706
Vergence_Angle,0.0011240217
Directional_Magnitude_L,0.0010320019
Delta_Gaze_X,0.0009959929
Angular_Difference_Gaze_Directions,0.0009950738
Directional_Magnitude_R,0.0009645533
Ratio_World_Gaze_Direction_Z,0.0009020157
Gaze_Vector_Angle,0.0008393294
Ratio_Delta_Gaze_XY,0.0008206253
World_Gaze_Origin_R_Z,0.0007400018
Ratio_World_Gaze_Direction_X,0.00070946454
Ratio_World_Gaze_Direction_Y,0.0006934788
Gaze_Point_Depth_Difference,0.00068316684
World_Gaze_Direction_R_Y,0.0006565837
World_Gaze_Direction_R_X,0.00065548875
Normalized_Vergence_Angle,0.0006441751
Gaze_Point_Euclidean_Distance,0.00063630735
Gaze_Direction_Z_Ratio,0.00063480093
Gaze_Point_Distance,0.0005899931
Vergence_Depth,0.0005535004
Angular_Difference_X,0.0005534976
Relative_Change_Vergence_Angle,0.0005462916
Directional_Magnitude_Ratio,0.00053846656
World_Gaze_Direction_R_Z,0.0004945694
Velocity_Gaze_Direction_R_X,0.0004772048
Ratio_Directional_Magnitude,0.0004690065
Cosine_Angles,0.0004641931
World_Gaze_Origin_L_Z,0.00044508203
Delta_Gaze_Z,0.0004404847
Gaze_Direction_X_Ratio,0.0004214905
Gaze_Direction_Y_Ratio,0.0003801197
World_Gaze_Direction_L_Z,0.0003219543
World_Gaze_Origin_L_X,0.0002662311
