feature,attribution
Gaze_Direction_Z_Ratio,0.21725956
Ratio_World_Gaze_Direction_Z,0.20475778
Velocity_Gaze_Direction_R_X,0.1990065
Acceleration_Gaze_Direction_R_X,0.18840775
World_Gaze_Direction_R_Z,0.18598078
Gaze_Vector_Angle,0.17607044
Ratio_Directional_Magnitude,0.17475939
Normalized_Vergence_Angle,0.17365137
Angular_Difference_Gaze_Directions,0.17351496
World_Gaze_Direction_L_X,0.17020614
Gaze_Point_Depth_Difference,0.1694065
Vergence_Angle,0.16828957
Delta_Gaze_Z,0.16750403
Angular_Difference_X,0.16339499
World_Gaze_Direction_R_Y,0.16239999
World_Gaze_Origin_L_X,0.15589124
World_Gaze_Direction_L_Y,0.14911193
Ratio_World_Gaze_Direction_X,0.14904928
Ratio_World_Gaze_Direction_Y,0.147115
Delta_Gaze_X,0.14537527
Gaze_Point_Euclidean_Distance,0.14534149
World_Gaze_Origin_L_Z,0.1449625
World_Gaze_Direction_R_X,0.14385405
Gaze_Point_Distance,0.13784267
Cosine_Angles,0.13590941
Directional_Magnitude_L,0.13587128
World_Gaze_Direction_L_Z,0.13356452
World_Gaze_Origin_R_Z,0.13287735
Gaze_Direction_Y_Ratio,0.1328435
Gaze_Direction_Angle,0.13162659
Vergence_Depth,0.13142125
Relative_Change_Vergence_Angle,0.12558502
World_Gaze_Origin_R_X,0.12294675
Delta_Gaze_Y,0.118904136
Directional_Magnitude_Ratio,0.118136585
Gaze_Direction_X_Ratio,0.11286556
Ratio_Delta_Gaze_XY,0.106386445
Directional_Magnitude_R,0.09399754
