feature,attribution
Gaze_Vector_Angle,2.256169278211928e-06
Gaze_Direction_Z_Ratio,2.2047271340852604e-06
World_Gaze_Direction_L_Z,1.977546373836958e-06
Cosine_Angles,1.7818400806390855e-06
World_Gaze_Direction_R_Y,1.7727474437378987e-06
Ratio_World_Gaze_Direction_Z,1.756985364522734e-06
Gaze_Point_Depth_Difference,1.6006330568529847e-06
Gaze_Point_Distance,1.5989658444937048e-06
World_Gaze_Direction_R_Z,1.5786319215749245e-06
Gaze_Direction_Y_Ratio,1.5432658040026581e-06
World_Gaze_Direction_R_X,1.4997807926420137e-06
Gaze_Direction_X_Ratio,1.4838093915159334e-06
Delta_Gaze_Y,1.462131730818328e-06
Delta_Gaze_X,1.429760712596817e-06
Gaze_Point_Euclidean_Distance,1.4129033911558509e-06
Directional_Magnitude_Ratio,1.387981791367565e-06
Ratio_World_Gaze_Direction_Y,1.3737723554640979e-06
World_Gaze_Direction_L_X,1.3566858828539806e-06
Angular_Difference_X,1.3246709599457064e-06
World_Gaze_Direction_L_Y,1.2608450526840897e-06
Delta_Gaze_Z,1.2465952534057579e-06
Directional_Magnitude_L,1.188408633652216e-06
Angular_Difference_Gaze_Directions,1.180102990758769e-06
Ratio_Delta_Gaze_XY,1.1770059126092746e-06
Vergence_Depth,1.1731138715731504e-06
Ratio_Directional_Magnitude,1.1722385249868238e-06
Gaze_Direction_Angle,1.1489773739015163e-06
Directional_Magnitude_R,1.0501148744879173e-06
Vergence_Angle,1.0409130752009333e-06
Ratio_World_Gaze_Direction_X,9.973539732754943e-07
Normalized_Vergence_Angle,8.671606889265604e-07
Velocity_Gaze_Direction_R_X,7.411277215396694e-07
Relative_Change_Vergence_Angle,7.33018925984652e-07
Acceleration_Gaze_Direction_R_X,5.850639308846439e-07
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
