feature,attribution
Gaze_Direction_Y_Ratio,0.13856712924806694
Directional_Magnitude_Ratio,0.13010068276995107
Gaze_Point_Depth_Difference,0.12061501196340511
World_Gaze_Origin_L_X,0.11330801875967729
World_Gaze_Origin_L_Z,0.10936196069968374
Ratio_World_Gaze_Direction_Z,0.10918681499989409
Ratio_World_Gaze_Direction_Y,0.09054948193462271
World_Gaze_Origin_R_Z,0.08699965712271239
Gaze_Point_Euclidean_Distance,0.08459245256687466
Gaze_Vector_Angle,0.08403433761314343
Gaze_Direction_X_Ratio,0.07913775541084378
World_Gaze_Direction_R_X,0.06490837959082503
Ratio_Directional_Magnitude,0.06380831705112207
Angular_Difference_X,0.06072005100156132
Velocity_Gaze_Direction_R_X,0.05885561947759829
Vergence_Depth,0.05421618411415502
Gaze_Direction_Angle,0.051349740916568985
Relative_Change_Vergence_Angle,0.04583807289600372
Directional_Magnitude_L,0.04351470168483885
World_Gaze_Direction_L_Y,0.04125757564447428
Angular_Difference_Gaze_Directions,0.04023655347133938
Gaze_Point_Distance,0.039632423241671766
Delta_Gaze_X,0.035636846956453826
Gaze_Direction_Z_Ratio,0.03493281037203575
World_Gaze_Direction_L_X,0.03480268600641897
World_Gaze_Direction_L_Z,0.03410937220446373
Delta_Gaze_Y,0.03404759453903688
World_Gaze_Direction_R_Y,0.03391536330117991
World_Gaze_Origin_R_X,0.02957562955194398
Normalized_Vergence_Angle,0.026575793120029726
Acceleration_Gaze_Direction_R_X,0.025839399889503654
Cosine_Angles,0.023661652923022445
World_Gaze_Direction_R_Z,0.02339315593340679
Directional_Magnitude_R,0.022097781986782427
Ratio_World_Gaze_Direction_X,0.02024833926636922
Ratio_Delta_Gaze_XY,0.017582761932556566
Delta_Gaze_Z,0.016990830631632554
Vergence_Angle,0.016078535295826823
