Method,Average Execution Time,Total Execution Time,Average Memory Usage,Total Memory Usage
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEANSTD,7.1200561319999816,178.00140329999954,2793.936875,69848.421875
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEANSTD,7.1200561319999816,178.00140329999954,2793.936875,69848.421875
deepactif_input_INV,7.074224192000002,176.85560480000004,2810.68890625,70267.22265625
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEANSTD,7.1200561319999816,178.00140329999954,2793.936875,69848.421875
deepactif_input_INV,7.074224192000002,176.85560480000004,2810.68890625,70267.22265625
deepactif_input_INV,7.044656168000092,176.1164042000023,2329.76578125,58244.14453125
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEANSTD,7.1200561319999816,178.00140329999954,2793.936875,69848.421875
deepactif_input_INV,7.074224192000002,176.85560480000004,2810.68890625,70267.22265625
deepactif_input_INV,7.044656168000092,176.1164042000023,2329.76578125,58244.14453125
deepactif_input_MEAN,7.074884367999984,176.8721091999996,2004.43890625,50110.97265625
deepactif_input_MEAN,7.349223279999985,183.73058199999963,2701.36015625,67534.00390625
deepactif_input_MEANSTD,7.1200561319999816,178.00140329999954,2793.936875,69848.421875
deepactif_input_INV,7.074224192000002,176.85560480000004,2810.68890625,70267.22265625
deepactif_input_INV,7.044656168000092,176.1164042000023,2329.76578125,58244.14453125
deepactif_input_MEAN,7.074884367999984,176.8721091999996,2004.43890625,50110.97265625
deepactif_input_MEANSTD,7.090515015999881,177.26287539999703,1988.24140625,49706.03515625
