feature,attribution
Gaze_Point_Distance,0.51929337
Acceleration_Gaze_Direction_R_X,0.5153586
World_Gaze_Origin_R_X,0.51525843
World_Gaze_Origin_L_X,0.5113454
World_Gaze_Direction_R_Y,0.5108876
Directional_Magnitude_L,0.51035154
World_Gaze_Direction_L_Y,0.51010495
Ratio_World_Gaze_Direction_Y,0.5100948
Normalized_Vergence_Angle,0.5094912
Ratio_Directional_Magnitude,0.5094518
World_Gaze_Origin_L_Z,0.50800824
Angular_Difference_X,0.5073568
Delta_Gaze_X,0.5071745
Gaze_Direction_Z_Ratio,0.50670516
World_Gaze_Direction_R_Z,0.50669694
Gaze_Point_Depth_Difference,0.50582165
Ratio_Delta_Gaze_XY,0.5057877
Delta_Gaze_Y,0.505748
World_Gaze_Direction_R_X,0.50504065
Relative_Change_Vergence_Angle,0.50416744
Gaze_Vector_Angle,0.5041149
World_Gaze_Direction_L_X,0.5037074
Gaze_Direction_X_Ratio,0.5034705
Cosine_Angles,0.50338316
Delta_Gaze_Z,0.5033016
Ratio_World_Gaze_Direction_X,0.5026184
World_Gaze_Origin_R_Z,0.502115
Directional_Magnitude_R,0.50079095
Gaze_Point_Euclidean_Distance,0.5006604
Vergence_Angle,0.4977297
Velocity_Gaze_Direction_R_X,0.49743265
Angular_Difference_Gaze_Directions,0.4960049
Directional_Magnitude_Ratio,0.49552792
Gaze_Direction_Y_Ratio,0.49504706
Ratio_World_Gaze_Direction_Z,0.49357092
Gaze_Direction_Angle,0.4930624
Vergence_Depth,0.4915324
World_Gaze_Direction_L_Z,0.49132267
