feature,attribution
Angular_Difference_X,0.046717785
Angular_Difference_Gaze_Directions,0.045331635
Ratio_World_Gaze_Direction_Z,0.038569678
World_Gaze_Origin_L_X,0.038346704
World_Gaze_Direction_R_Z,0.038085695
Delta_Gaze_Z,0.038036697
Ratio_Delta_Gaze_XY,0.037212193
Delta_Gaze_X,0.036681127
Directional_Magnitude_R,0.036560014
World_Gaze_Direction_R_Y,0.034866568
Gaze_Point_Distance,0.03476753
Gaze_Point_Euclidean_Distance,0.033818692
Ratio_Directional_Magnitude,0.033504847
Directional_Magnitude_Ratio,0.03307243
Cosine_Angles,0.032605298
Gaze_Point_Depth_Difference,0.032591153
World_Gaze_Origin_L_Z,0.032373436
World_Gaze_Origin_R_X,0.032321848
World_Gaze_Direction_L_X,0.032262877
Normalized_Vergence_Angle,0.031722635
World_Gaze_Direction_L_Y,0.031591564
Ratio_World_Gaze_Direction_Y,0.03152362
Gaze_Direction_Angle,0.03139074
Delta_Gaze_Y,0.031181073
Gaze_Direction_Y_Ratio,0.030586166
World_Gaze_Origin_R_Z,0.02994979
Gaze_Direction_X_Ratio,0.028994756
Vergence_Angle,0.028915983
Gaze_Direction_Z_Ratio,0.028454773
Relative_Change_Vergence_Angle,0.028251186
Velocity_Gaze_Direction_R_X,0.028136188
Vergence_Depth,0.025625164
Acceleration_Gaze_Direction_R_X,0.023728542
Gaze_Vector_Angle,0.023622468
World_Gaze_Direction_R_X,0.022350186
Ratio_World_Gaze_Direction_X,0.020212803
World_Gaze_Direction_L_Z,0.019294048
Directional_Magnitude_L,0.01876765
