feature,attribution
World_Gaze_Origin_R_X,0.01357941
Directional_Magnitude_L,0.012729543
Normalized_Vergence_Angle,0.011745539
World_Gaze_Direction_L_X,0.010544374
Delta_Gaze_Z,0.010459326
Ratio_Directional_Magnitude,0.009393338
Angular_Difference_X,0.008444169
Gaze_Vector_Angle,0.007897561
Directional_Magnitude_R,0.0074315793
World_Gaze_Origin_L_X,0.0072058477
World_Gaze_Direction_L_Z,0.0065257554
Angular_Difference_Gaze_Directions,0.006392203
Delta_Gaze_Y,0.005901637
Ratio_World_Gaze_Direction_Z,0.0058094906
Acceleration_Gaze_Direction_R_X,0.0056965565
World_Gaze_Direction_R_X,0.0053325896
Gaze_Direction_Angle,0.005117221
Delta_Gaze_X,0.0050180894
Gaze_Point_Depth_Difference,0.0045738174
Gaze_Direction_Y_Ratio,0.0045636203
Gaze_Point_Distance,0.0043472885
Vergence_Angle,0.004197838
World_Gaze_Direction_R_Y,0.0041820537
Vergence_Depth,0.0041659647
Ratio_Delta_Gaze_XY,0.0040058275
World_Gaze_Direction_L_Y,0.003945227
Gaze_Direction_X_Ratio,0.003909645
World_Gaze_Origin_L_Z,0.0036047718
World_Gaze_Origin_R_Z,0.0032074612
Gaze_Point_Euclidean_Distance,0.00291602
Velocity_Gaze_Direction_R_X,0.0029143747
Gaze_Direction_Z_Ratio,0.0028130186
World_Gaze_Direction_R_Z,0.0026719847
Ratio_World_Gaze_Direction_X,0.002500382
Directional_Magnitude_Ratio,0.0023598461
Relative_Change_Vergence_Angle,0.0022945828
Ratio_World_Gaze_Direction_Y,0.0015030933
Cosine_Angles,0.0009999722
