feature,attribution
Directional_Magnitude_L,0.2853292
World_Gaze_Direction_L_Z,0.2768295
Ratio_World_Gaze_Direction_Y,0.27285188
Directional_Magnitude_R,0.26411927
Gaze_Point_Euclidean_Distance,0.26285836
Delta_Gaze_Z,0.25329405
Delta_Gaze_X,0.23566675
Gaze_Direction_X_Ratio,0.22578321
World_Gaze_Origin_R_X,0.22162984
World_Gaze_Direction_R_Z,0.21798998
Gaze_Point_Depth_Difference,0.21614087
Directional_Magnitude_Ratio,0.21502452
World_Gaze_Origin_L_Z,0.21159334
Vergence_Angle,0.21056613
Gaze_Direction_Z_Ratio,0.21013933
World_Gaze_Direction_L_X,0.20881468
Delta_Gaze_Y,0.20687012
World_Gaze_Origin_L_X,0.20534264
Relative_Change_Vergence_Angle,0.20371643
World_Gaze_Direction_R_X,0.2033321
Gaze_Vector_Angle,0.20141757
Angular_Difference_Gaze_Directions,0.19873448
Gaze_Point_Distance,0.19706306
Vergence_Depth,0.19324856
Normalized_Vergence_Angle,0.19150469
Acceleration_Gaze_Direction_R_X,0.18821561
Ratio_World_Gaze_Direction_X,0.17540239
Ratio_World_Gaze_Direction_Z,0.17462605
Velocity_Gaze_Direction_R_X,0.17287588
Ratio_Delta_Gaze_XY,0.16997094
Angular_Difference_X,0.16689382
Gaze_Direction_Y_Ratio,0.16683914
Cosine_Angles,0.163327
Ratio_Directional_Magnitude,0.15619515
World_Gaze_Direction_L_Y,0.15018083
World_Gaze_Direction_R_Y,0.14691775
World_Gaze_Origin_R_Z,0.14054298
Gaze_Direction_Angle,0.13262434
