feature,attribution
Cosine_Angles,0.0064725527
Ratio_World_Gaze_Direction_X,0.0056939083
World_Gaze_Origin_L_X,0.005031337
Angular_Difference_Gaze_Directions,0.0041160113
Velocity_Gaze_Direction_R_X,0.0038178763
Directional_Magnitude_R,0.003487903
Gaze_Direction_Angle,0.0031579782
Angular_Difference_X,0.0026107326
Gaze_Direction_Y_Ratio,0.0023849243
World_Gaze_Origin_R_X,0.0023385552
World_Gaze_Direction_R_Z,0.0021323147
Acceleration_Gaze_Direction_R_X,0.002062318
World_Gaze_Direction_R_Y,0.0018515552
Delta_Gaze_Y,0.0018244134
Directional_Magnitude_L,0.0016275244
Ratio_Delta_Gaze_XY,0.00126088
World_Gaze_Origin_L_Z,0.00111079
Gaze_Point_Euclidean_Distance,0.0009861506
Gaze_Direction_Z_Ratio,0.00081211777
Ratio_Directional_Magnitude,0.0006981919
Vergence_Depth,0.00026062533
World_Gaze_Direction_R_X,0.00023128632
Gaze_Point_Distance,0.00020738652
Delta_Gaze_X,-0.000110735076
World_Gaze_Direction_L_Z,-0.0008433869
Delta_Gaze_Z,-0.00093647523
Gaze_Direction_X_Ratio,-0.0009893789
Gaze_Vector_Angle,-0.0013753389
Normalized_Vergence_Angle,-0.0013804313
World_Gaze_Direction_L_Y,-0.001484902
Vergence_Angle,-0.0018404522
Directional_Magnitude_Ratio,-0.0018474887
World_Gaze_Direction_L_X,-0.0020253493
Gaze_Point_Depth_Difference,-0.0022110092
Ratio_World_Gaze_Direction_Y,-0.0022675814
Relative_Change_Vergence_Angle,-0.0024361124
Ratio_World_Gaze_Direction_Z,-0.0024859349
World_Gaze_Origin_R_Z,-0.00249839
