feature,attribution
Directional_Magnitude_L,0.50894785
Directional_Magnitude_Ratio,0.5087974
World_Gaze_Direction_L_Z,0.50818515
World_Gaze_Origin_R_Z,0.5071789
World_Gaze_Direction_R_Y,0.5060669
Delta_Gaze_X,0.5048096
World_Gaze_Origin_L_Z,0.5044913
Normalized_Vergence_Angle,0.5030306
World_Gaze_Direction_R_Z,0.50274926
Acceleration_Gaze_Direction_R_X,0.5007117
Angular_Difference_Gaze_Directions,0.50066614
Ratio_World_Gaze_Direction_Z,0.49923635
Cosine_Angles,0.49920577
Ratio_World_Gaze_Direction_X,0.49920106
Gaze_Direction_X_Ratio,0.4987841
World_Gaze_Direction_L_Y,0.4985924
Gaze_Direction_Y_Ratio,0.49814168
Gaze_Point_Depth_Difference,0.49766964
World_Gaze_Direction_L_X,0.49747902
Vergence_Angle,0.49692634
World_Gaze_Origin_R_X,0.49452356
Delta_Gaze_Z,0.4940149
Angular_Difference_X,0.49352637
World_Gaze_Origin_L_X,0.49328926
Ratio_World_Gaze_Direction_Y,0.4931484
Ratio_Delta_Gaze_XY,0.49147922
Gaze_Direction_Angle,0.49097174
Ratio_Directional_Magnitude,0.49043396
Relative_Change_Vergence_Angle,0.49034733
Gaze_Vector_Angle,0.49002802
Vergence_Depth,0.48995683
Gaze_Point_Euclidean_Distance,0.48917714
Directional_Magnitude_R,0.4874512
Velocity_Gaze_Direction_R_X,0.48643348
World_Gaze_Direction_R_X,0.48626727
Gaze_Point_Distance,0.48518986
Delta_Gaze_Y,0.47977507
Gaze_Direction_Z_Ratio,0.4795024
