feature,attribution
World_Gaze_Origin_L_Z,0.5213385
Gaze_Direction_Y_Ratio,0.51958925
Directional_Magnitude_Ratio,0.51842684
Ratio_Directional_Magnitude,0.51797014
Normalized_Vergence_Angle,0.5175243
Gaze_Point_Distance,0.51453376
Ratio_World_Gaze_Direction_X,0.51451653
Acceleration_Gaze_Direction_R_X,0.51268786
Directional_Magnitude_L,0.5119662
Delta_Gaze_Y,0.5073902
Ratio_World_Gaze_Direction_Z,0.5058645
Ratio_World_Gaze_Direction_Y,0.50428325
World_Gaze_Direction_L_X,0.50415397
Angular_Difference_Gaze_Directions,0.5040451
World_Gaze_Direction_R_X,0.5039749
Vergence_Depth,0.5038109
Gaze_Point_Depth_Difference,0.5021426
Directional_Magnitude_R,0.50036055
World_Gaze_Direction_L_Y,0.5000366
World_Gaze_Direction_L_Z,0.49831495
World_Gaze_Origin_R_Z,0.49810287
World_Gaze_Origin_R_X,0.49801028
Gaze_Point_Euclidean_Distance,0.49793538
World_Gaze_Direction_R_Z,0.4974097
Delta_Gaze_Z,0.49725816
Gaze_Direction_Z_Ratio,0.49670255
Delta_Gaze_X,0.49659312
World_Gaze_Direction_R_Y,0.49589485
Angular_Difference_X,0.4955015
Gaze_Direction_X_Ratio,0.49286473
Gaze_Vector_Angle,0.4920494
Vergence_Angle,0.49202576
Velocity_Gaze_Direction_R_X,0.49012715
Cosine_Angles,0.4900638
Ratio_Delta_Gaze_XY,0.48787063
Relative_Change_Vergence_Angle,0.48260236
World_Gaze_Origin_L_X,0.4812967
Gaze_Direction_Angle,0.4807262
