feature,attribution
Gaze_Point_Distance,0.49673697
World_Gaze_Direction_L_Y,0.49280304
World_Gaze_Origin_L_Z,0.49022073
Delta_Gaze_Y,0.49016616
Angular_Difference_Gaze_Directions,0.48865753
Vergence_Angle,0.48806122
Ratio_World_Gaze_Direction_Z,0.4870138
World_Gaze_Direction_R_Y,0.48664436
Relative_Change_Vergence_Angle,0.48610914
Gaze_Direction_Y_Ratio,0.48594296
Angular_Difference_X,0.48548886
Directional_Magnitude_Ratio,0.48516163
Directional_Magnitude_L,0.4850896
Normalized_Vergence_Angle,0.48399636
Gaze_Point_Euclidean_Distance,0.48385507
World_Gaze_Direction_R_Z,0.4838176
Directional_Magnitude_R,0.4837795
Vergence_Depth,0.4821693
World_Gaze_Direction_R_X,0.48188668
Gaze_Direction_X_Ratio,0.4817839
World_Gaze_Direction_L_X,0.481704
Cosine_Angles,0.48161435
Ratio_Delta_Gaze_XY,0.48085237
World_Gaze_Origin_L_X,0.47988972
Ratio_World_Gaze_Direction_X,0.4798769
Ratio_World_Gaze_Direction_Y,0.47905475
Delta_Gaze_Z,0.47897243
Delta_Gaze_X,0.47808835
World_Gaze_Direction_L_Z,0.4762838
Ratio_Directional_Magnitude,0.4751767
Gaze_Direction_Angle,0.47416806
Gaze_Point_Depth_Difference,0.47353402
World_Gaze_Origin_R_X,0.47296047
Gaze_Direction_Z_Ratio,0.47089416
Gaze_Vector_Angle,0.46636432
Acceleration_Gaze_Direction_R_X,0.46527696
Velocity_Gaze_Direction_R_X,0.46437576
World_Gaze_Origin_R_Z,0.46343985
