feature,attribution
Delta_Gaze_X,3.0370166156276904e-08
Delta_Gaze_Y,2.6175743191446628e-08
World_Gaze_Direction_R_X,2.3974972602306162e-08
Normalized_Vergence_Angle,2.324238151679787e-08
Angular_Difference_Gaze_Directions,2.3216182443639382e-08
World_Gaze_Direction_L_X,2.079472194588487e-08
Gaze_Direction_Angle,1.9461275695351518e-08
Angular_Difference_X,1.8889099976944825e-08
Cosine_Angles,1.862819132483055e-08
Ratio_Delta_Gaze_XY,1.828268323491389e-08
Vergence_Angle,1.8181546362319625e-08
Delta_Gaze_Z,1.806742917775747e-08
Gaze_Direction_Z_Ratio,1.7971596913715124e-08
Gaze_Point_Distance,1.7235083526761192e-08
World_Gaze_Direction_L_Y,1.7208889019210872e-08
Gaze_Direction_Y_Ratio,1.6995760782244722e-08
Gaze_Point_Euclidean_Distance,1.5997127416703326e-08
Gaze_Vector_Angle,1.564628040373354e-08
Gaze_Direction_X_Ratio,1.540056845572484e-08
World_Gaze_Direction_R_Y,1.5315392413111016e-08
Ratio_World_Gaze_Direction_Y,1.4286654086602999e-08
Vergence_Depth,1.377417434484611e-08
Gaze_Point_Depth_Difference,1.084531131715918e-08
Ratio_World_Gaze_Direction_X,1.064644142054329e-08
Ratio_World_Gaze_Direction_Z,9.676252845635852e-09
Ratio_Directional_Magnitude,8.401665111587104e-09
World_Gaze_Direction_L_Z,8.346100777828778e-09
Directional_Magnitude_Ratio,8.022542441693299e-09
Directional_Magnitude_L,6.423461632070212e-09
World_Gaze_Direction_R_Z,6.271070127098393e-09
Directional_Magnitude_R,6.135027865130365e-09
Relative_Change_Vergence_Angle,3.5538048629211366e-09
Velocity_Gaze_Direction_R_X,2.692546831480364e-09
Acceleration_Gaze_Direction_R_X,2.5988609130205327e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
