feature,attribution
Delta_Gaze_X,0.00017512780155265793
Vergence_Depth,0.00017246642437894453
Ratio_World_Gaze_Direction_Z,0.0001455112778516305
Vergence_Angle,0.0001430247853488599
Gaze_Direction_Angle,0.00014155734063879126
Gaze_Point_Euclidean_Distance,0.00013743625404581764
Normalized_Vergence_Angle,0.00013716580128121582
World_Gaze_Direction_L_Z,0.00013214899684464785
World_Gaze_Direction_R_Y,0.00013013415265579
Ratio_World_Gaze_Direction_X,0.00012986557520140151
Gaze_Point_Depth_Difference,0.0001286709505875217
World_Gaze_Direction_L_Y,0.0001275106440961476
Gaze_Direction_X_Ratio,0.0001259838273227954
Ratio_Delta_Gaze_XY,0.0001251827115726159
World_Gaze_Direction_L_X,0.00012459494056002923
Ratio_World_Gaze_Direction_Y,0.00011943631185714972
Angular_Difference_Gaze_Directions,0.00011907656961774453
World_Gaze_Direction_R_X,0.00011860350434068474
Cosine_Angles,0.00011739660436272564
World_Gaze_Direction_R_Z,0.00011588446951177072
Gaze_Point_Distance,0.00011512298169556728
Delta_Gaze_Z,0.0001141641965770406
Gaze_Direction_Z_Ratio,0.00011035509488197826
Gaze_Vector_Angle,0.00010895179379440912
Directional_Magnitude_L,0.00010872633719659656
Ratio_Directional_Magnitude,0.00010433086016219485
Angular_Difference_X,9.692360333150354e-05
Directional_Magnitude_Ratio,9.463865044789094e-05
Delta_Gaze_Y,9.198944217410334e-05
Gaze_Direction_Y_Ratio,9.117244284804212e-05
Directional_Magnitude_R,8.675966177483202e-05
Velocity_Gaze_Direction_R_X,6.472473426634387e-05
Acceleration_Gaze_Direction_R_X,6.234611906009502e-05
Relative_Change_Vergence_Angle,5.382302410898236e-05
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
