feature,attribution
Cosine_Angles,3.293476965358767e-08
Normalized_Vergence_Angle,2.9255825061596078e-08
World_Gaze_Direction_R_Z,2.4170773217466652e-08
Gaze_Point_Distance,2.393787470373507e-08
Gaze_Point_Euclidean_Distance,1.890909066870668e-08
Gaze_Direction_Angle,1.7719499992106118e-08
Ratio_World_Gaze_Direction_X,1.757516931062533e-08
Gaze_Direction_Z_Ratio,1.7290281332252923e-08
World_Gaze_Direction_L_Y,1.6865684149193603e-08
World_Gaze_Direction_L_Z,1.657452359559572e-08
Vergence_Depth,1.6516986565889054e-08
Angular_Difference_Gaze_Directions,1.598234376923546e-08
Vergence_Angle,1.5519437971093706e-08
Gaze_Vector_Angle,1.5492499444207084e-08
Delta_Gaze_X,1.5185386596942387e-08
Delta_Gaze_Z,1.5156188501595015e-08
World_Gaze_Direction_L_X,1.4254335336937053e-08
World_Gaze_Direction_R_Y,1.275398505043419e-08
Delta_Gaze_Y,1.1961796868240857e-08
Gaze_Point_Depth_Difference,1.1836582490478934e-08
Ratio_World_Gaze_Direction_Y,1.1725532067677568e-08
Gaze_Direction_Y_Ratio,1.1479643721021438e-08
Ratio_World_Gaze_Direction_Z,1.1401162549348275e-08
Ratio_Delta_Gaze_XY,1.0675586608081715e-08
Angular_Difference_X,9.625402516302366e-09
Ratio_Directional_Magnitude,7.417636646693732e-09
World_Gaze_Direction_R_X,6.9251658109302446e-09
Gaze_Direction_X_Ratio,6.7936424959068875e-09
Directional_Magnitude_L,6.302644624672134e-09
Directional_Magnitude_R,5.576774244682122e-09
Directional_Magnitude_Ratio,4.279162145933364e-09
Velocity_Gaze_Direction_R_X,2.8566461807579013e-09
Relative_Change_Vergence_Angle,2.561894798099085e-09
Acceleration_Gaze_Direction_R_X,1.7122656155332676e-09
World_Gaze_Origin_L_X,0.0
World_Gaze_Origin_L_Z,0.0
World_Gaze_Origin_R_X,0.0
World_Gaze_Origin_R_Z,0.0
